River,Reach,Station,X,Y,Z
ATATURK,ATATURK-T,1,521984.76,4174746.92,951.79
ATATURK,ATATURK-T,1,521987.43,4174749.42,952.38
ATATURK,ATATURK-T,1,521991.2,4174752.94,952.5
ATATURK,ATATURK-T,1,521993.49,4174755.07,951.67
ATATURK,ATATURK-T,1,521996.13,4174757.54,951.82
ATATURK,ATATURK-T,1,521997.68,4174758.99,950.5
ATATURK,ATATURK-T,1,521999.37,4174760.56,950.41
ATATURK,ATATURK-T,1,522001.26,4174762.33,950.5
ATATURK,ATATURK-T,1,522005.51,4174766.3,952.85
ATATURK,ATATURK-T,1,522008.33,4174768.93,955.35
ATATURK,ATATURK-T,1,522012.31,4174772.64,954.64
ATATURK,ATATURK-T,1,522016.89,4174776.92,954.17
ATATURK,ATATURK-T,1,522021.44,4174781.17,953.94
ATATURK,ATATURK-T,2,521968.57,4174764.58,953.02
ATATURK,ATATURK-T,2,521970.89,4174767.7,953.02
ATATURK,ATATURK-T,2,521973.02,4174770.55,953.02
ATATURK,ATATURK-T,2,521975.07,4174773.31,952.79
ATATURK,ATATURK-T,2,521976.19,4174774.82,951.97
ATATURK,ATATURK-T,2,521977.16,4174776.12,951.7
ATATURK,ATATURK-T,2,521977.52,4174776.6,951.7
ATATURK,ATATURK-T,2,521977.52,4174776.6,949.47
ATATURK,ATATURK-T,2,521977.52,4174776.6,949.47
ATATURK,ATATURK-T,2,521978.64,4174778.11,949.47
ATATURK,ATATURK-T,2,521980.06,4174780.02,949.47
ATATURK,ATATURK-T,2,521980.06,4174780.02,949.47
ATATURK,ATATURK-T,2,521980.06,4174780.02,952
ATATURK,ATATURK-T,2,521980.38,4174780.44,952
ATATURK,ATATURK-T,2,521983.26,4174784.32,952.88
ATATURK,ATATURK-T,2,521986.86,4174789.16,955.7
ATATURK,ATATURK-T,2,521990.92,4174794.61,955.93
ATATURK,ATATURK-T,2,521994.38,4174799.25,951.82
ATATURK,ATATURK-T,3,521944.12,4174783.12,954.49
ATATURK,ATATURK-T,3,521946.04,4174785.7,954.02
ATATURK,ATATURK-T,3,521948.93,4174789.58,952.91
ATATURK,ATATURK-T,3,521951.01,4174792.38,951.61
ATATURK,ATATURK-T,3,521951.75,4174793.37,950.91
ATATURK,ATATURK-T,3,521952.9,4174794.91,950.88
ATATURK,ATATURK-T,3,521953.09,4174795.17,950.88
ATATURK,ATATURK-T,3,521953.09,4174795.17,948.53
ATATURK,ATATURK-T,3,521953.09,4174795.17,948.53
ATATURK,ATATURK-T,3,521953.91,4174796.26,948.53
ATATURK,ATATURK-T,3,521955.18,4174797.98,948.53
ATATURK,ATATURK-T,3,521955.18,4174797.98,948.53
ATATURK,ATATURK-T,3,521955.18,4174797.98,951.26
ATATURK,ATATURK-T,3,521955.39,4174798.26,951.26
ATATURK,ATATURK-T,3,521956.52,4174799.78,949.71
ATATURK,ATATURK-T,3,521960.47,4174805.09,949.47
ATATURK,ATATURK-T,3,521963.89,4174809.68,949.47
ATATURK,ATATURK-T,4,521898.58,4174833.93,951.73
ATATURK,ATATURK-T,4,521901.09,4174835,950.67
ATATURK,ATATURK-T,4,521904.63,4174836.5,949.73
ATATURK,ATATURK-T,4,521908,4174837.93,950.73
ATATURK,ATATURK-T,4,521910.08,4174838.81,950.38
ATATURK,ATATURK-T,4,521912.13,4174839.68,949.79
ATATURK,ATATURK-T,4,521912.41,4174839.8,949.79
ATATURK,ATATURK-T,4,521912.41,4174839.8,946.65
ATATURK,ATATURK-T,4,521912.41,4174839.8,946.65
ATATURK,ATATURK-T,4,521913.58,4174840.3,946.65
ATATURK,ATATURK-T,4,521915.5,4174841.11,946.65
ATATURK,ATATURK-T,4,521915.5,4174841.11,946.65
ATATURK,ATATURK-T,4,521915.5,4174841.11,949.79
ATATURK,ATATURK-T,4,521915.95,4174841.3,949.79
ATATURK,ATATURK-T,4,521916.88,4174841.7,948.65
ATATURK,ATATURK-T,4,521922.09,4174843.91,948.65
ATATURK,ATATURK-T,4,521929.19,4174846.92,952.88
ATATURK,ATATURK-T,5,521884.98,4174896.54,949.26
ATATURK,ATATURK-T,5,521888.72,4174897.09,949.21
ATATURK,ATATURK-T,5,521891.82,4174897.54,949.21
ATATURK,ATATURK-T,5,521895,4174898.01,949.21
ATATURK,ATATURK-T,5,521898.01,4174898.45,948.56
ATATURK,ATATURK-T,5,521899.48,4174898.67,947.83
ATATURK,ATATURK-T,5,521899.97,4174898.74,947.83
ATATURK,ATATURK-T,5,521899.97,4174898.74,944.77
ATATURK,ATATURK-T,5,521899.97,4174898.74,944.77
ATATURK,ATATURK-T,5,521900.81,4174898.87,944.77
ATATURK,ATATURK-T,5,521903.19,4174899.22,944.77
ATATURK,ATATURK-T,5,521903.19,4174899.22,944.77
ATATURK,ATATURK-T,5,521903.19,4174899.22,948
ATATURK,ATATURK-T,5,521903.61,4174899.28,948
ATATURK,ATATURK-T,5,521905.95,4174899.62,946.89
ATATURK,ATATURK-T,5,521911.11,4174900.38,946.89
ATATURK,ATATURK-T,5,521916.03,4174901.11,946.77
ATATURK,ATATURK-T,6,521888.16,4174955.76,950.56
ATATURK,ATATURK-T,6,521891.02,4174955.54,950.38
ATATURK,ATATURK-T,6,521894.46,4174955.29,948.79
ATATURK,ATATURK-T,6,521897.14,4174955.09,947.68
ATATURK,ATATURK-T,6,521898.13,4174955.01,945.97
ATATURK,ATATURK-T,6,521900.66,4174954.83,946.06
ATATURK,ATATURK-T,6,521901.07,4174954.8,946.03
ATATURK,ATATURK-T,6,521901.07,4174954.8,943.36
ATATURK,ATATURK-T,6,521901.07,4174954.8,943.36
