River,Reach,Station,Bank_Width,Left_Bank_X,Left_Bank_Y,Right_Bank_X,Right_Bank_Y
ATATURK,ATATURK-T,1,16.695,522008.333,4174768.932,521996.129,4174757.539
ATATURK,ATATURK-T,2,4.261,521980.061,4174780.022,521977.521,4174776.601
ATATURK,ATATURK-T,3,3.499,521955.18,4174797.981,521953.092,4174795.173
ATATURK,ATATURK-T,4,3.353,521915.498,4174841.109,521912.41,4174839.8
ATATURK,ATATURK-T,5,3.263,521903.193,4174899.22,521899.966,4174898.739
ATATURK,ATATURK-T,6,3.421,521904.477,4174954.54,521901.065,4174954.8
ATATURK,ATATURK-T,7,3.289,521903.031,4175019.43,521899.741,4175019.42
ATATURK,ATATURK-T,8,3.324,521920.656,4175080.31,521917.345,4175080.02
ATATURK,ATATURK-T,9,3.489,521917.419,4175133.42,521913.933,4175133.27
ATATURK,ATATURK-T,10,3.561,521925.553,4175179.95,521922.027,4175180.45
ATATURK,ATATURK-T,11,3.661,521925.683,4175180.478,521922.059,4175180.997
