River,Reach,Station,Distance_from_Center,X,Y,Z
ATATURK,ATATURK-T,1,-23.2,521984.817,4174746.974,951.803
ATATURK,ATATURK-T,1,-23.1,521984.89,4174747.042,951.819
ATATURK,ATATURK-T,1,-23.0,521984.963,4174747.11,951.835
ATATURK,ATATURK-T,1,-22.9,521985.036,4174747.179,951.851
ATATURK,ATATURK-T,1,-22.8,521985.109,4174747.247,951.867
ATATURK,ATATURK-T,1,-22.7,521985.182,4174747.315,951.883
ATATURK,ATATURK-T,1,-22.6,521985.255,4174747.384,951.899
ATATURK,ATATURK-T,1,-22.5,521985.328,4174747.452,951.916
ATATURK,ATATURK-T,1,-22.4,521985.401,4174747.52,951.932
ATATURK,ATATURK-T,1,-22.3,521985.474,4174747.589,951.948
ATATURK,ATATURK-T,1,-22.2,521985.547,4174747.657,951.964
ATATURK,ATATURK-T,1,-22.1,521985.62,4174747.726,951.98
ATATURK,ATATURK-T,1,-22.0,521985.693,4174747.794,951.996
ATATURK,ATATURK-T,1,-21.9,521985.766,4174747.862,952.012
ATATURK,ATATURK-T,1,-21.8,521985.839,4174747.931,952.028
ATATURK,ATATURK-T,1,-21.7,521985.912,4174747.999,952.045
ATATURK,ATATURK-T,1,-21.6,521985.985,4174748.067,952.061
ATATURK,ATATURK-T,1,-21.5,521986.058,4174748.136,952.077
ATATURK,ATATURK-T,1,-21.4,521986.131,4174748.204,952.093
ATATURK,ATATURK-T,1,-21.3,521986.204,4174748.272,952.109
ATATURK,ATATURK-T,1,-21.2,521986.277,4174748.341,952.125
ATATURK,ATATURK-T,1,-21.1,521986.35,4174748.409,952.141
ATATURK,ATATURK-T,1,-21.0,521986.423,4174748.477,952.158
ATATURK,ATATURK-T,1,-20.9,521986.496,4174748.546,952.174
ATATURK,ATATURK-T,1,-20.8,521986.569,4174748.614,952.19
ATATURK,ATATURK-T,1,-20.7,521986.642,4174748.682,952.206
ATATURK,ATATURK-T,1,-20.6,521986.715,4174748.751,952.222
ATATURK,ATATURK-T,1,-20.5,521986.788,4174748.819,952.238
ATATURK,ATATURK-T,1,-20.4,521986.861,4174748.887,952.254
ATATURK,ATATURK-T,1,-20.3,521986.934,4174748.956,952.27
ATATURK,ATATURK-T,1,-20.2,521987.007,4174749.024,952.287
ATATURK,ATATURK-T,1,-20.1,521987.08,4174749.093,952.303
ATATURK,ATATURK-T,1,-20.0,521987.153,4174749.161,952.319
ATATURK,ATATURK-T,1,-19.9,521987.226,4174749.229,952.335
ATATURK,ATATURK-T,1,-19.8,521987.299,4174749.298,952.351
ATATURK,ATATURK-T,1,-19.7,521987.372,4174749.366,952.367
ATATURK,ATATURK-T,1,-19.6,521987.445,4174749.434,952.38
ATATURK,ATATURK-T,1,-19.5,521987.518,4174749.502,952.383
ATATURK,ATATURK-T,1,-19.4,521987.591,4174749.571,952.385
ATATURK,ATATURK-T,1,-19.3,521987.665,4174749.639,952.387
ATATURK,ATATURK-T,1,-19.2,521987.738,4174749.707,952.39
ATATURK,ATATURK-T,1,-19.1,521987.811,4174749.775,952.392
ATATURK,ATATURK-T,1,-19.0,521987.884,4174749.844,952.394
ATATURK,ATATURK-T,1,-18.9,521987.957,4174749.912,952.397
ATATURK,ATATURK-T,1,-18.8,521988.03,4174749.98,952.399
ATATURK,ATATURK-T,1,-18.7,521988.103,4174750.048,952.401
ATATURK,ATATURK-T,1,-18.6,521988.176,4174750.117,952.404
ATATURK,ATATURK-T,1,-18.5,521988.249,4174750.185,952.406
ATATURK,ATATURK-T,1,-18.4,521988.322,4174750.253,952.408
ATATURK,ATATURK-T,1,-18.3,521988.395,4174750.321,952.411
ATATURK,ATATURK-T,1,-18.2,521988.469,4174750.39,952.413
ATATURK,ATATURK-T,1,-18.1,521988.542,4174750.458,952.415
ATATURK,ATATURK-T,1,-18.0,521988.615,4174750.526,952.418
ATATURK,ATATURK-T,1,-17.9,521988.688,4174750.594,952.42
ATATURK,ATATURK-T,1,-17.8,521988.761,4174750.663,952.422
ATATURK,ATATURK-T,1,-17.7,521988.834,4174750.731,952.425
ATATURK,ATATURK-T,1,-17.6,521988.907,4174750.799,952.427
ATATURK,ATATURK-T,1,-17.5,521988.98,4174750.867,952.429
ATATURK,ATATURK-T,1,-17.4,521989.053,4174750.936,952.432
ATATURK,ATATURK-T,1,-17.3,521989.126,4174751.004,952.434
ATATURK,ATATURK-T,1,-17.2,521989.199,4174751.072,952.436
ATATURK,ATATURK-T,1,-17.1,521989.273,4174751.14,952.439
ATATURK,ATATURK-T,1,-17.0,521989.346,4174751.209,952.441
ATATURK,ATATURK-T,1,-16.9,521989.419,4174751.277,952.443
ATATURK,ATATURK-T,1,-16.8,521989.492,4174751.345,952.446
ATATURK,ATATURK-T,1,-16.7,521989.565,4174751.413,952.448
ATATURK,ATATURK-T,1,-16.6,521989.638,4174751.482,952.45
ATATURK,ATATURK-T,1,-16.5,521989.711,4174751.55,952.453
ATATURK,ATATURK-T,1,-16.4,521989.784,4174751.618,952.455
ATATURK,ATATURK-T,1,-16.3,521989.857,4174751.686,952.457
ATATURK,ATATURK-T,1,-16.2,521989.93,4174751.755,952.46
ATATURK,ATATURK-T,1,-16.1,521990.003,4174751.823,952.462
ATATURK,ATATURK-T,1,-16.0,521990.077,4174751.891,952.464
ATATURK,ATATURK-T,1,-15.9,521990.15,4174751.959,952.467
ATATURK,ATATURK-T,1,-15.8,521990.223,4174752.028,952.469
ATATURK,ATATURK-T,1,-15.7,521990.296,4174752.096,952.471
ATATURK,ATATURK-T,1,-15.6,521990.369,4174752.164,952.474
ATATURK,ATATURK-T,1,-15.5,521990.442,4174752.232,952.476
ATATURK,ATATURK-T,1,-15.4,521990.515,4174752.301,952.478
ATATURK,ATATURK-T,1,-15.3,521990.588,4174752.369,952.481
ATATURK,ATATURK-T,1,-15.2,521990.661,4174752.437,952.483
ATATURK,ATATURK-T,1,-15.1,521990.734,4174752.505,952.485
ATATURK,ATATURK-T,1,-15.0,521990.808,4174752.574,952.488
ATATURK,ATATURK-T,1,-14.9,521990.881,4174752.642,952.49
ATATURK,ATATURK-T,1,-14.8,521990.954,4174752.71,952.492
ATATURK,ATATURK-T,1,-14.7,521991.027,4174752.778,952.494
ATATURK,ATATURK-T,1,-14.6,521991.1,4174752.847,952.497
ATATURK,ATATURK-T,1,-14.5,521991.173,4174752.915,952.499
ATATURK,ATATURK-T,1,-14.4,521991.246,4174752.983,952.483
ATATURK,ATATURK-T,1,-14.3,521991.319,4174753.051,952.457
ATATURK,ATATURK-T,1,-14.2,521991.393,4174753.119,952.43
ATATURK,ATATURK-T,1,-14.1,521991.466,4174753.187,952.404
ATATURK,ATATURK-T,1,-14.0,521991.539,4174753.255,952.377
ATATURK,ATATURK-T,1,-13.9,521991.612,4174753.323,952.351
ATATURK,ATATURK-T,1,-13.8,521991.685,4174753.392,952.324
ATATURK,ATATURK-T,1,-13.7,521991.759,4174753.46,952.298
ATATURK,ATATURK-T,1,-13.6,521991.832,4174753.528,952.271
ATATURK,ATATURK-T,1,-13.5,521991.905,4174753.596,952.244
ATATURK,ATATURK-T,1,-13.4,521991.978,4174753.664,952.218
ATATURK,ATATURK-T,1,-13.3,521992.052,4174753.732,952.191
ATATURK,ATATURK-T,1,-13.2,521992.125,4174753.8,952.165
ATATURK,ATATURK-T,1,-13.1,521992.198,4174753.868,952.138
ATATURK,ATATURK-T,1,-13.0,521992.271,4174753.936,952.112
ATATURK,ATATURK-T,1,-12.9,521992.344,4174754.005,952.085
ATATURK,ATATURK-T,1,-12.8,521992.418,4174754.073,952.059
ATATURK,ATATURK-T,1,-12.7,521992.491,4174754.141,952.032
ATATURK,ATATURK-T,1,-12.6,521992.564,4174754.209,952.006
ATATURK,ATATURK-T,1,-12.5,521992.637,4174754.277,951.979
ATATURK,ATATURK-T,1,-12.4,521992.711,4174754.345,951.952
ATATURK,ATATURK-T,1,-12.3,521992.784,4174754.413,951.926
ATATURK,ATATURK-T,1,-12.2,521992.857,4174754.481,951.899
ATATURK,ATATURK-T,1,-12.1,521992.93,4174754.549,951.873
ATATURK,ATATURK-T,1,-12.0,521993.003,4174754.617,951.846
ATATURK,ATATURK-T,1,-11.9,521993.077,4174754.686,951.82
ATATURK,ATATURK-T,1,-11.8,521993.15,4174754.754,951.793
ATATURK,ATATURK-T,1,-11.7,521993.223,4174754.822,951.767
ATATURK,ATATURK-T,1,-11.6,521993.296,4174754.89,951.74
ATATURK,ATATURK-T,1,-11.5,521993.37,4174754.958,951.714
ATATURK,ATATURK-T,1,-11.4,521993.443,4174755.026,951.687
ATATURK,ATATURK-T,1,-11.3,521993.516,4174755.094,951.671
ATATURK,ATATURK-T,1,-11.2,521993.589,4174755.163,951.676
ATATURK,ATATURK-T,1,-11.1,521993.662,4174755.231,951.68
ATATURK,ATATURK-T,1,-11.0,521993.735,4174755.299,951.684
ATATURK,ATATURK-T,1,-10.9,521993.808,4174755.368,951.688
ATATURK,ATATURK-T,1,-10.8,521993.881,4174755.436,951.692
ATATURK,ATATURK-T,1,-10.7,521993.954,4174755.504,951.696
ATATURK,ATATURK-T,1,-10.6,521994.027,4174755.573,951.701
ATATURK,ATATURK-T,1,-10.5,521994.1,4174755.641,951.705
ATATURK,ATATURK-T,1,-10.4,521994.173,4174755.709,951.709
ATATURK,ATATURK-T,1,-10.3,521994.246,4174755.778,951.713
ATATURK,ATATURK-T,1,-10.2,521994.319,4174755.846,951.717
ATATURK,ATATURK-T,1,-10.1,521994.392,4174755.914,951.721
ATATURK,ATATURK-T,1,-10.0,521994.465,4174755.982,951.725
ATATURK,ATATURK-T,1,-9.9,521994.538,4174756.051,951.73
ATATURK,ATATURK-T,1,-9.8,521994.611,4174756.119,951.734
ATATURK,ATATURK-T,1,-9.7,521994.684,4174756.187,951.738
ATATURK,ATATURK-T,1,-9.6,521994.757,4174756.256,951.742
ATATURK,ATATURK-T,1,-9.5,521994.83,4174756.324,951.746
ATATURK,ATATURK-T,1,-9.4,521994.903,4174756.392,951.75
ATATURK,ATATURK-T,1,-9.3,521994.976,4174756.461,951.754
ATATURK,ATATURK-T,1,-9.2,521995.049,4174756.529,951.759
ATATURK,ATATURK-T,1,-9.1,521995.122,4174756.597,951.763
ATATURK,ATATURK-T,1,-9.0,521995.195,4174756.666,951.767
ATATURK,ATATURK-T,1,-8.9,521995.269,4174756.734,951.771
ATATURK,ATATURK-T,1,-8.8,521995.342,4174756.802,951.775
ATATURK,ATATURK-T,1,-8.7,521995.415,4174756.871,951.779
ATATURK,ATATURK-T,1,-8.6,521995.488,4174756.939,951.783
ATATURK,ATATURK-T,1,-8.5,521995.561,4174757.007,951.788
ATATURK,ATATURK-T,1,-8.4,521995.634,4174757.076,951.792
ATATURK,ATATURK-T,1,-8.3,521995.707,4174757.144,951.796
ATATURK,ATATURK-T,1,-8.2,521995.78,4174757.212,951.8
ATATURK,ATATURK-T,1,-8.1,521995.853,4174757.281,951.804
ATATURK,ATATURK-T,1,-8.0,521995.926,4174757.349,951.808
ATATURK,ATATURK-T,1,-7.9,521995.999,4174757.417,951.813
ATATURK,ATATURK-T,1,-7.8,521996.072,4174757.486,951.817
ATATURK,ATATURK-T,1,-7.7,521996.145,4174757.554,951.807
ATATURK,ATATURK-T,1,-7.6,521996.218,4174757.622,951.745
ATATURK,ATATURK-T,1,-7.5,521996.291,4174757.69,951.683
ATATURK,ATATURK-T,1,-7.4,521996.364,4174757.759,951.621
ATATURK,ATATURK-T,1,-7.3,521996.437,4174757.827,951.559
ATATURK,ATATURK-T,1,-7.2,521996.51,4174757.895,951.496
ATATURK,ATATURK-T,1,-7.1,521996.583,4174757.964,951.434
ATATURK,ATATURK-T,1,-7.0,521996.656,4174758.032,951.372
ATATURK,ATATURK-T,1,-6.9,521996.729,4174758.1,951.31
ATATURK,ATATURK-T,1,-6.8,521996.802,4174758.169,951.248
ATATURK,ATATURK-T,1,-6.7,521996.875,4174758.237,951.185
ATATURK,ATATURK-T,1,-6.6,521996.948,4174758.305,951.123
ATATURK,ATATURK-T,1,-6.5,521997.021,4174758.374,951.061
ATATURK,ATATURK-T,1,-6.4,521997.094,4174758.442,950.999
ATATURK,ATATURK-T,1,-6.3,521997.167,4174758.51,950.937
ATATURK,ATATURK-T,1,-6.2,521997.24,4174758.579,950.875
ATATURK,ATATURK-T,1,-6.1,521997.313,4174758.647,950.812
ATATURK,ATATURK-T,1,-6.0,521997.386,4174758.715,950.75
ATATURK,ATATURK-T,1,-5.9,521997.459,4174758.784,950.688
ATATURK,ATATURK-T,1,-5.8,521997.532,4174758.852,950.626
ATATURK,ATATURK-T,1,-5.7,521997.605,4174758.92,950.564
ATATURK,ATATURK-T,1,-5.6,521997.678,4174758.988,950.501
ATATURK,ATATURK-T,1,-5.5,521997.752,4174759.057,950.496
ATATURK,ATATURK-T,1,-5.4,521997.825,4174759.125,950.492
ATATURK,ATATURK-T,1,-5.3,521997.898,4174759.193,950.488
ATATURK,ATATURK-T,1,-5.2,521997.971,4174759.261,950.484
ATATURK,ATATURK-T,1,-5.1,521998.045,4174759.329,950.481
ATATURK,ATATURK-T,1,-5.0,521998.118,4174759.397,950.477
ATATURK,ATATURK-T,1,-4.9,521998.191,4174759.465,950.473
ATATURK,ATATURK-T,1,-4.8,521998.264,4174759.533,950.469
ATATURK,ATATURK-T,1,-4.7,521998.338,4174759.601,950.465
ATATURK,ATATURK-T,1,-4.6,521998.411,4174759.669,950.461
ATATURK,ATATURK-T,1,-4.5,521998.484,4174759.737,950.457
ATATURK,ATATURK-T,1,-4.4,521998.558,4174759.805,950.453
ATATURK,ATATURK-T,1,-4.3,521998.631,4174759.873,950.449
ATATURK,ATATURK-T,1,-4.2,521998.704,4174759.941,950.445
ATATURK,ATATURK-T,1,-4.1,521998.777,4174760.009,950.442
ATATURK,ATATURK-T,1,-4.0,521998.851,4174760.077,950.438
ATATURK,ATATURK-T,1,-3.9,521998.924,4174760.146,950.434
ATATURK,ATATURK-T,1,-3.8,521998.997,4174760.214,950.43
ATATURK,ATATURK-T,1,-3.7,521999.07,4174760.282,950.426
ATATURK,ATATURK-T,1,-3.6,521999.144,4174760.35,950.422
ATATURK,ATATURK-T,1,-3.5,521999.217,4174760.418,950.418
ATATURK,ATATURK-T,1,-3.4,521999.29,4174760.486,950.414
ATATURK,ATATURK-T,1,-3.3,521999.363,4174760.554,950.41
ATATURK,ATATURK-T,1,-3.2,521999.436,4174760.622,950.413
ATATURK,ATATURK-T,1,-3.1,521999.509,4174760.691,950.417
ATATURK,ATATURK-T,1,-3.0,521999.582,4174760.759,950.42
ATATURK,ATATURK-T,1,-2.9,521999.655,4174760.827,950.424
ATATURK,ATATURK-T,1,-2.8,521999.728,4174760.896,950.427
ATATURK,ATATURK-T,1,-2.7,521999.801,4174760.964,950.431
ATATURK,ATATURK-T,1,-2.6,521999.874,4174761.032,950.434
ATATURK,ATATURK-T,1,-2.5,521999.947,4174761.101,950.437
ATATURK,ATATURK-T,1,-2.4,522000.02,4174761.169,950.441
ATATURK,ATATURK-T,1,-2.3,522000.093,4174761.237,950.444
ATATURK,ATATURK-T,1,-2.2,522000.166,4174761.306,950.448
ATATURK,ATATURK-T,1,-2.1,522000.239,4174761.374,950.451
ATATURK,ATATURK-T,1,-2.0,522000.312,4174761.442,950.455
ATATURK,ATATURK-T,1,-1.9,522000.385,4174761.511,950.458
ATATURK,ATATURK-T,1,-1.8,522000.458,4174761.579,950.462
ATATURK,ATATURK-T,1,-1.7,522000.531,4174761.648,950.465
ATATURK,ATATURK-T,1,-1.6,522000.604,4174761.716,950.469
ATATURK,ATATURK-T,1,-1.5,522000.677,4174761.784,950.472
ATATURK,ATATURK-T,1,-1.4,522000.75,4174761.853,950.476
ATATURK,ATATURK-T,1,-1.3,522000.823,4174761.921,950.479
ATATURK,ATATURK-T,1,-1.2,522000.896,4174761.989,950.483
ATATURK,ATATURK-T,1,-1.1,522000.969,4174762.058,950.486
ATATURK,ATATURK-T,1,-1.0,522001.042,4174762.126,950.49
ATATURK,ATATURK-T,1,-0.9,522001.115,4174762.194,950.493
ATATURK,ATATURK-T,1,-0.8,522001.188,4174762.263,950.497
ATATURK,ATATURK-T,1,-0.7,522001.261,4174762.331,950.501
ATATURK,ATATURK-T,1,-0.6,522001.334,4174762.399,950.541
ATATURK,ATATURK-T,1,-0.5,522001.407,4174762.468,950.581
ATATURK,ATATURK-T,1,-0.4,522001.48,4174762.536,950.622
ATATURK,ATATURK-T,1,-0.3,522001.553,4174762.604,950.662
ATATURK,ATATURK-T,1,-0.2,522001.627,4174762.672,950.703
ATATURK,ATATURK-T,1,-0.1,522001.7,4174762.741,950.743
ATATURK,ATATURK-T,1,0.0,522001.773,4174762.809,950.784
ATATURK,ATATURK-T,1,0.1,522001.846,4174762.877,950.824
ATATURK,ATATURK-T,1,0.2,522001.919,4174762.945,950.864
ATATURK,ATATURK-T,1,0.3,522001.992,4174763.014,950.905
ATATURK,ATATURK-T,1,0.4,522002.065,4174763.082,950.945
ATATURK,ATATURK-T,1,0.5,522002.138,4174763.15,950.986
ATATURK,ATATURK-T,1,0.6,522002.211,4174763.219,951.026
ATATURK,ATATURK-T,1,0.7,522002.284,4174763.287,951.066
ATATURK,ATATURK-T,1,0.8,522002.357,4174763.355,951.107
ATATURK,ATATURK-T,1,0.9,522002.43,4174763.423,951.147
ATATURK,ATATURK-T,1,1.0,522002.503,4174763.492,951.188
ATATURK,ATATURK-T,1,1.1,522002.577,4174763.56,951.228
ATATURK,ATATURK-T,1,1.2,522002.65,4174763.628,951.268
ATATURK,ATATURK-T,1,1.3,522002.723,4174763.696,951.309
ATATURK,ATATURK-T,1,1.4,522002.796,4174763.765,951.349
ATATURK,ATATURK-T,1,1.5,522002.869,4174763.833,951.39
ATATURK,ATATURK-T,1,1.6,522002.942,4174763.901,951.43
ATATURK,ATATURK-T,1,1.7,522003.015,4174763.969,951.47
ATATURK,ATATURK-T,1,1.8,522003.088,4174764.038,951.511
ATATURK,ATATURK-T,1,1.9,522003.161,4174764.106,951.551
ATATURK,ATATURK-T,1,2.0,522003.234,4174764.174,951.592
ATATURK,ATATURK-T,1,2.1,522003.307,4174764.242,951.632
ATATURK,ATATURK-T,1,2.2,522003.38,4174764.311,951.672
ATATURK,ATATURK-T,1,2.3,522003.453,4174764.379,951.713
ATATURK,ATATURK-T,1,2.4,522003.527,4174764.447,951.753
ATATURK,ATATURK-T,1,2.5,522003.6,4174764.516,951.794
ATATURK,ATATURK-T,1,2.6,522003.673,4174764.584,951.834
ATATURK,ATATURK-T,1,2.7,522003.746,4174764.652,951.875
ATATURK,ATATURK-T,1,2.8,522003.819,4174764.72,951.915
ATATURK,ATATURK-T,1,2.9,522003.892,4174764.789,951.955
ATATURK,ATATURK-T,1,3.0,522003.965,4174764.857,951.996
ATATURK,ATATURK-T,1,3.1,522004.038,4174764.925,952.036
ATATURK,ATATURK-T,1,3.2,522004.111,4174764.993,952.077
ATATURK,ATATURK-T,1,3.3,522004.184,4174765.062,952.117
ATATURK,ATATURK-T,1,3.4,522004.257,4174765.13,952.157
ATATURK,ATATURK-T,1,3.5,522004.33,4174765.198,952.198
ATATURK,ATATURK-T,1,3.6,522004.403,4174765.266,952.238
ATATURK,ATATURK-T,1,3.7,522004.477,4174765.335,952.279
ATATURK,ATATURK-T,1,3.8,522004.55,4174765.403,952.319
ATATURK,ATATURK-T,1,3.9,522004.623,4174765.471,952.359
ATATURK,ATATURK-T,1,4.0,522004.696,4174765.539,952.4
ATATURK,ATATURK-T,1,4.1,522004.769,4174765.608,952.44
ATATURK,ATATURK-T,1,4.2,522004.842,4174765.676,952.481
ATATURK,ATATURK-T,1,4.3,522004.915,4174765.744,952.521
ATATURK,ATATURK-T,1,4.4,522004.988,4174765.812,952.561
ATATURK,ATATURK-T,1,4.5,522005.061,4174765.881,952.602
ATATURK,ATATURK-T,1,4.6,522005.134,4174765.949,952.642
ATATURK,ATATURK-T,1,4.7,522005.207,4174766.017,952.683
ATATURK,ATATURK-T,1,4.8,522005.28,4174766.086,952.723
ATATURK,ATATURK-T,1,4.9,522005.353,4174766.154,952.763
ATATURK,ATATURK-T,1,5.0,522005.427,4174766.222,952.804
ATATURK,ATATURK-T,1,5.1,522005.5,4174766.29,952.844
ATATURK,ATATURK-T,1,5.2,522005.573,4174766.359,952.906
ATATURK,ATATURK-T,1,5.3,522005.646,4174766.427,952.97
ATATURK,ATATURK-T,1,5.4,522005.719,4174766.495,953.035
ATATURK,ATATURK-T,1,5.5,522005.792,4174766.563,953.1
ATATURK,ATATURK-T,1,5.6,522005.865,4174766.631,953.165
ATATURK,ATATURK-T,1,5.7,522005.938,4174766.7,953.23
ATATURK,ATATURK-T,1,5.8,522006.012,4174766.768,953.295
ATATURK,ATATURK-T,1,5.9,522006.085,4174766.836,953.359
ATATURK,ATATURK-T,1,6.0,522006.158,4174766.904,953.424
ATATURK,ATATURK-T,1,6.1,522006.231,4174766.972,953.489
ATATURK,ATATURK-T,1,6.2,522006.304,4174767.041,953.554
ATATURK,ATATURK-T,1,6.3,522006.377,4174767.109,953.619
ATATURK,ATATURK-T,1,6.4,522006.45,4174767.177,953.684
ATATURK,ATATURK-T,1,6.5,522006.523,4174767.245,953.748
ATATURK,ATATURK-T,1,6.6,522006.597,4174767.313,953.813
ATATURK,ATATURK-T,1,6.7,522006.67,4174767.382,953.878
ATATURK,ATATURK-T,1,6.8,522006.743,4174767.45,953.943
ATATURK,ATATURK-T,1,6.9,522006.816,4174767.518,954.008
ATATURK,ATATURK-T,1,7.0,522006.889,4174767.586,954.073
ATATURK,ATATURK-T,1,7.1,522006.962,4174767.654,954.137
ATATURK,ATATURK-T,1,7.2,522007.035,4174767.723,954.202
ATATURK,ATATURK-T,1,7.3,522007.109,4174767.791,954.267
ATATURK,ATATURK-T,1,7.4,522007.182,4174767.859,954.332
ATATURK,ATATURK-T,1,7.5,522007.255,4174767.927,954.397
ATATURK,ATATURK-T,1,7.6,522007.328,4174767.995,954.462
ATATURK,ATATURK-T,1,7.7,522007.401,4174768.064,954.526
ATATURK,ATATURK-T,1,7.8,522007.474,4174768.132,954.591
ATATURK,ATATURK-T,1,7.9,522007.547,4174768.2,954.656
ATATURK,ATATURK-T,1,8.0,522007.62,4174768.268,954.721
ATATURK,ATATURK-T,1,8.1,522007.694,4174768.336,954.786
ATATURK,ATATURK-T,1,8.2,522007.767,4174768.405,954.851
ATATURK,ATATURK-T,1,8.3,522007.84,4174768.473,954.915
ATATURK,ATATURK-T,1,8.4,522007.913,4174768.541,954.98
ATATURK,ATATURK-T,1,8.5,522007.986,4174768.609,955.045
ATATURK,ATATURK-T,1,8.6,522008.059,4174768.677,955.11
ATATURK,ATATURK-T,1,8.7,522008.132,4174768.746,955.175
ATATURK,ATATURK-T,1,8.8,522008.205,4174768.814,955.24
ATATURK,ATATURK-T,1,8.9,522008.279,4174768.882,955.304
ATATURK,ATATURK-T,1,9.0,522008.352,4174768.95,955.346
ATATURK,ATATURK-T,1,9.1,522008.425,4174769.018,955.333
ATATURK,ATATURK-T,1,9.2,522008.498,4174769.087,955.32
ATATURK,ATATURK-T,1,9.3,522008.571,4174769.155,955.307
ATATURK,ATATURK-T,1,9.4,522008.644,4174769.223,955.294
ATATURK,ATATURK-T,1,9.5,522008.718,4174769.291,955.281
ATATURK,ATATURK-T,1,9.6,522008.791,4174769.359,955.268
