River,Reach,Station,X,Y,Z
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517738.19,4185999.02,932.08
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517735.50,4185994.43,933.49
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517733.57,4185991.15,934.20
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517731.91,4185988.32,933.14
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517730.22,4185985.44,932.67
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517728.11,4185981.85,930.44
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517726.00,4185978.25,928.09
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517724.26,4185975.29,927.85
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517722.61,4185972.48,927.71
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517719.51,4185967.19,927.97
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517716.81,4185962.60,930.56
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517713.75,4185957.40,933.49
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517711.44,4185953.46,935.02
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517709.71,4185950.50,936.55
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517707.41,4185946.59,936.05
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517705.34,4185943.06,935.93
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517702.64,4185938.47,935.93
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517699.69,4185933.44,935.81
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,1,517697.26,4185929.30,935.46
