River,Reach,Station,X,Y,Z
BUYUKGOKCELI,BUYUKGOKCELI,1,564595.17,4193012.04,1043.63
BUYUKGOKCELI,BUYUKGOKCELI,1,564596.48,4193014.09,1042.43
BUYUKGOKCELI,BUYUKGOKCELI,1,564598.39,4193017.09,1041.71
BUYUKGOKCELI,BUYUKGOKCELI,1,564599.86,4193019.39,1041.71
BUYUKGOKCELI,BUYUKGOKCELI,1,564601.6,4193022.12,1041.71
BUYUKGOKCELI,BUYUKGOKCELI,1,564603.25,4193024.69,1041.59
BUYUKGOKCELI,BUYUKGOKCELI,1,564609.05,4193033.78,1036.43
BUYUKGOKCELI,BUYUKGOKCELI,1,564611.98,4193038.36,1036.31
BUYUKGOKCELI,BUYUKGOKCELI,1,564615.5,4193043.87,1036.73
BUYUKGOKCELI,BUYUKGOKCELI,1,564617.56,4193047.09,1036.79
BUYUKGOKCELI,BUYUKGOKCELI,1,564622.1,4193054.21,1039.91
BUYUKGOKCELI,BUYUKGOKCELI,1,564624.8,4193058.42,1045.34
BUYUKGOKCELI,BUYUKGOKCELI,1,564627.86,4193063.22,1046.93
BUYUKGOKCELI,BUYUKGOKCELI,1,564629.94,4193066.48,1047.95
BUYUKGOKCELI,BUYUKGOKCELI,1,564632.25,4193070.1,1049.15
BUYUKGOKCELI,BUYUKGOKCELI,1,564633.2,4193071.58,1049.63
BUYUKGOKCELI,BUYUKGOKCELI,2,564505.44,4193120.12,1031.51
BUYUKGOKCELI,BUYUKGOKCELI,2,564507.17,4193121.24,1031.51
BUYUKGOKCELI,BUYUKGOKCELI,2,564509.45,4193122.71,1031.15
BUYUKGOKCELI,BUYUKGOKCELI,2,564510.8,4193123.58,1030.85
BUYUKGOKCELI,BUYUKGOKCELI,2,564512.35,4193124.59,1030.97
BUYUKGOKCELI,BUYUKGOKCELI,2,564514.24,4193125.81,1030.01
BUYUKGOKCELI,BUYUKGOKCELI,2,564515.88,4193126.87,1030.01
BUYUKGOKCELI,BUYUKGOKCELI,2,564518.24,4193128.39,1030.08
BUYUKGOKCELI,BUYUKGOKCELI,2,564519.68,4193129.32,1028.75
BUYUKGOKCELI,BUYUKGOKCELI,2,564520.15,4193129.63,1028.72
BUYUKGOKCELI,BUYUKGOKCELI,2,564520.72,4193129.99,1028.75
BUYUKGOKCELI,BUYUKGOKCELI,2,564523.13,4193131.56,1030.41
BUYUKGOKCELI,BUYUKGOKCELI,2,564526.34,4193133.63,1029.71
BUYUKGOKCELI,BUYUKGOKCELI,2,564529.04,4193135.37,1029.89
BUYUKGOKCELI,BUYUKGOKCELI,2,564533.05,4193137.97,1031.15
BUYUKGOKCELI,BUYUKGOKCELI,2,564534.72,4193139.04,1031.81
BUYUKGOKCELI,BUYUKGOKCELI,2,564535.74,4193139.71,1032.05
BUYUKGOKCELI,BUYUKGOKCELI,3,564490.02,4193173.74,1028.21
BUYUKGOKCELI,BUYUKGOKCELI,3,564489.45,4193175.64,1027.97
BUYUKGOKCELI,BUYUKGOKCELI,3,564488.73,4193178.06,1027.91
BUYUKGOKCELI,BUYUKGOKCELI,3,564487.92,4193180.76,1027.85
BUYUKGOKCELI,BUYUKGOKCELI,3,564487.29,4193182.9,1027.79
BUYUKGOKCELI,BUYUKGOKCELI,3,564486.76,4193184.66,1027.49
BUYUKGOKCELI,BUYUKGOKCELI,3,564486.55,4193185.38,1026.47
BUYUKGOKCELI,BUYUKGOKCELI,3,564485.8,4193187.88,1026.41
BUYUKGOKCELI,BUYUKGOKCELI,3,564485.64,4193188.41,1026.44
BUYUKGOKCELI,BUYUKGOKCELI,3,564485.44,4193189.1,1027.25
BUYUKGOKCELI,BUYUKGOKCELI,3,564484.28,4193192.99,1027.25
BUYUKGOKCELI,BUYUKGOKCELI,3,564483.01,4193197.24,1027.01
BUYUKGOKCELI,BUYUKGOKCELI,3,564481.54,4193202.16,1026.71
BUYUKGOKCELI,BUYUKGOKCELI,3,564480.11,4193206.95,1026.65
BUYUKGOKCELI,BUYUKGOKCELI,3,564478.14,4193213.53,1026.11
BUYUKGOKCELI,BUYUKGOKCELI,3,564476.39,4193219.41,1025.87
