catalog_row,A,B,C,D,E,F,pathname,selected
0,BUR-AFY-BAS-AKKECILI,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-AKKECILI/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
1,BUR-AFY-BAS-AKKECILI,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-AKKECILI/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
2,BUR-AFY-BAS-AKKECILI,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-AKKECILI/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
3,BUR-AFY-BAS-AKKECILI,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-AKKECILI/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
4,BUR-AFY-BAS-AKKECILI,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-AKKECILI/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
5,BUR-AFY-BAS-AKKECILI,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-AKKECILI/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
6,BUR-AFY-BAS-AKKECILI,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-AKKECILI/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
7,BUR-AFY-BAS-AKKECILI,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-AKKECILI/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
8,BUR-AFY-BAS-AKPINAR,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-AKPINAR/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
9,BUR-AFY-BAS-AKPINAR,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-AKPINAR/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
10,BUR-AFY-BAS-AKPINAR,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-AKPINAR/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
