catalog_row,A,B,C,D,E,F,pathname,selected
0,BUR-BUR-KEC-ARDICLI-T,BURDUR2,DEBI,01May2025,30Minute,Q10,/BUR-BUR-KEC-ARDICLI-T/BURDUR2/DEBI/01May2025/30Minute/Q10/,False
1,BUR-BUR-KEC-ARDICLI-T,BURDUR2,DEBI,01May2025,30Minute,Q100,/BUR-BUR-KEC-ARDICLI-T/BURDUR2/DEBI/01May2025/30Minute/Q100/,False
2,BUR-BUR-KEC-ARDICLI-T,BURDUR2,DEBI,01May2025,30Minute,Q1000,/BUR-BUR-KEC-ARDICLI-T/BURDUR2/DEBI/01May2025/30Minute/Q1000/,False
3,BUR-BUR-KEC-ARDICLI-T,BURDUR2,DEBI,01May2025,30Minute,Q2,/BUR-BUR-KEC-ARDICLI-T/BURDUR2/DEBI/01May2025/30Minute/Q2/,False
4,BUR-BUR-KEC-ARDICLI-T,BURDUR2,DEBI,01May2025,30Minute,Q25,/BUR-BUR-KEC-ARDICLI-T/BURDUR2/DEBI/01May2025/30Minute/Q25/,False
5,BUR-BUR-KEC-ARDICLI-T,BURDUR2,DEBI,01May2025,30Minute,Q5,/BUR-BUR-KEC-ARDICLI-T/BURDUR2/DEBI/01May2025/30Minute/Q5/,False
6,BUR-BUR-KEC-ARDICLI-T,BURDUR2,DEBI,01May2025,30Minute,Q50,/BUR-BUR-KEC-ARDICLI-T/BURDUR2/DEBI/01May2025/30Minute/Q50/,False
7,BUR-BUR-KEC-ARDICLI-T,BURDUR2,DEBI,01May2025,30Minute,Q500,/BUR-BUR-KEC-ARDICLI-T/BURDUR2/DEBI/01May2025/30Minute/Q500/,False
8,BUR-BUR-MER-ABG,BURDUR2,DEBI,01May2025,30Minute,Q10,/BUR-BUR-MER-ABG/BURDUR2/DEBI/01May2025/30Minute/Q10/,False
9,BUR-BUR-MER-ABG,BURDUR2,DEBI,01May2025,30Minute,Q100,/BUR-BUR-MER-ABG/BURDUR2/DEBI/01May2025/30Minute/Q100/,False
10,BUR-BUR-MER-ABG,BURDUR2,DEBI,01May2025,30Minute,Q1000,/BUR-BUR-MER-ABG/BURDUR2/DEBI/01May2025/30Minute/Q1000/,False
11,BUR-BUR-MER-ABG,BURDUR2,DEBI,01May2025,30Minute,Q2,/BUR-BUR-MER-ABG/BURDUR2/DEBI/01May2025/30Minute/Q2/,False
12,BUR-BUR-MER-ABG,BURDUR2,DEBI,01May2025,30Minute,Q25,/BUR-BUR-MER-ABG/BURDUR2/DEBI/01May2025/30Minute/Q25/,False
13,BUR-BUR-MER-ABG,BURDUR2,DEBI,01May2025,30Minute,Q5,/BUR-BUR-MER-ABG/BURDUR2/DEBI/01May2025/30Minute/Q5/,False
14,BUR-BUR-MER-ABG,BURDUR2,DEBI,01May2025,30Minute,Q50,/BUR-BUR-MER-ABG/BURDUR2/DEBI/01May2025/30Minute/Q50/,False
15,BUR-BUR-MER-ABG,BURDUR2,DEBI,01May2025,30Minute,Q500,/BUR-BUR-MER-ABG/BURDUR2/DEBI/01May2025/30Minute/Q500/,False
16,BUR-BUR-MER-ABG_A,BURDUR2,DEBI,01May2025,30Minute,Q10,/BUR-BUR-MER-ABG_A/BURDUR2/DEBI/01May2025/30Minute/Q10/,False
17,BUR-BUR-MER-ABG_A,BURDUR2,DEBI,01May2025,30Minute,Q100,/BUR-BUR-MER-ABG_A/BURDUR2/DEBI/01May2025/30Minute/Q100/,False
18,BUR-BUR-MER-ABG_A,BURDUR2,DEBI,01May2025,30Minute,Q1000,/BUR-BUR-MER-ABG_A/BURDUR2/DEBI/01May2025/30Minute/Q1000/,False
19,BUR-BUR-MER-ABG_A,BURDUR2,DEBI,01May2025,30Minute,Q2,/BUR-BUR-MER-ABG_A/BURDUR2/DEBI/01May2025/30Minute/Q2/,False
20,BUR-BUR-MER-ABG_A,BURDUR2,DEBI,01May2025,30Minute,Q25,/BUR-BUR-MER-ABG_A/BURDUR2/DEBI/01May2025/30Minute/Q25/,False
21,BUR-BUR-MER-ABG_A,BURDUR2,DEBI,01May2025,30Minute,Q5,/BUR-BUR-MER-ABG_A/BURDUR2/DEBI/01May2025/30Minute/Q5/,False
22,BUR-BUR-MER-ABG_A,BURDUR2,DEBI,01May2025,30Minute,Q50,/BUR-BUR-MER-ABG_A/BURDUR2/DEBI/01May2025/30Minute/Q50/,False
23,BUR-BUR-MER-ABG_A,BURDUR2,DEBI,01May2025,30Minute,Q500,/BUR-BUR-MER-ABG_A/BURDUR2/DEBI/01May2025/30Minute/Q500/,False
24,BUR-BUR-MER-AKDERE,BURDUR2,DEBI,02May2025,5Minute,Q10,/BUR-BUR-MER-AKDERE/BURDUR2/DEBI/02May2025/5Minute/Q10/,False
25,BUR-BUR-MER-AKDERE,BURDUR2,DEBI,02May2025,5Minute,Q100,/BUR-BUR-MER-AKDERE/BURDUR2/DEBI/02May2025/5Minute/Q100/,False
26,BUR-BUR-MER-AKDERE,BURDUR2,DEBI,02May2025,5Minute,Q1000,/BUR-BUR-MER-AKDERE/BURDUR2/DEBI/02May2025/5Minute/Q1000/,False
27,BUR-BUR-MER-AKDERE,BURDUR2,DEBI,02May2025,5Minute,Q2,/BUR-BUR-MER-AKDERE/BURDUR2/DEBI/02May2025/5Minute/Q2/,False
28,BUR-BUR-MER-AKDERE,BURDUR2,DEBI,02May2025,5Minute,Q25,/BUR-BUR-MER-AKDERE/BURDUR2/DEBI/02May2025/5Minute/Q25/,False
29,BUR-BUR-MER-AKDERE,BURDUR2,DEBI,02May2025,5Minute,Q5,/BUR-BUR-MER-AKDERE/BURDUR2/DEBI/02May2025/5Minute/Q5/,False
30,BUR-BUR-MER-AKDERE,BURDUR2,DEBI,02May2025,5Minute,Q50,/BUR-BUR-MER-AKDERE/BURDUR2/DEBI/02May2025/5Minute/Q50/,False
31,BUR-BUR-MER-AKDERE,BURDUR2,DEBI,02May2025,5Minute,Q500,/BUR-BUR-MER-AKDERE/BURDUR2/DEBI/02May2025/5Minute/Q500/,False
32,BUR-BUR-MER-AKYAKA1,BURDUR2,DEBI,01May2025,30Minute,Q10,/BUR-BUR-MER-AKYAKA1/BURDUR2/DEBI/01May2025/30Minute/Q10/,False
33,BUR-BUR-MER-AKYAKA1,BURDUR2,DEBI,01May2025,30Minute,Q100,/BUR-BUR-MER-AKYAKA1/BURDUR2/DEBI/01May2025/30Minute/Q100/,False
34,BUR-BUR-MER-AKYAKA1,BURDUR2,DEBI,01May2025,30Minute,Q1000,/BUR-BUR-MER-AKYAKA1/BURDUR2/DEBI/01May2025/30Minute/Q1000/,False
35,BUR-BUR-MER-AKYAKA1,BURDUR2,DEBI,01May2025,30Minute,Q2,/BUR-BUR-MER-AKYAKA1/BURDUR2/DEBI/01May2025/30Minute/Q2/,False
36,BUR-BUR-MER-AKYAKA1,BURDUR2,DEBI,01May2025,30Minute,Q25,/BUR-BUR-MER-AKYAKA1/BURDUR2/DEBI/01May2025/30Minute/Q25/,False
37,BUR-BUR-MER-AKYAKA1,BURDUR2,DEBI,01May2025,30Minute,Q5,/BUR-BUR-MER-AKYAKA1/BURDUR2/DEBI/01May2025/30Minute/Q5/,False
