SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
1,616556.013,3097760.448,6.558,0,634.298,Junction
2,616555.543,3097759.565,7.191,0,634.296,Junction
3,616555.073,3097758.683,7.927,0,634.294,Junction
4,616554.603,3097757.8,8.664,0,634.292,Junction
5,616554.133,3097756.917,9.401,0,634.29,Junction
6,616553.663,3097756.034,10.138,0,634.288,Junction
7,616553.193,3097755.152,10.874,0,634.286,Junction
8,616552.723,3097754.269,11.611,0,634.284,Junction
9,616552.253,3097753.386,12.348,0,634.282,Junction
10,616551.783,3097752.504,6.224,0,634.28,Normal
11,616551.313,3097751.621,6.224,0,634.278,Normal
12,616550.843,3097750.738,5.995,0,634.276,Normal
13,616550.373,3097749.856,5.995,0,634.274,Normal
14,616549.903,3097748.973,5.995,0,634.272,Normal
15,616549.433,3097748.09,5.994,0,634.27,Normal
16,616548.963,3097747.208,5.994,0,634.268,Normal
17,616548.493,3097746.325,5.994,0,634.266,Normal
18,616548.023,3097745.442,5.994,0,634.264,Normal
19,616547.904,3097745.217,5.994,0,634.262,Normal
