SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
1,616073.135,3096615.242,2.05,0,631.5,Normal
2,616073.556,3096614.335,2.332,0,631.5,Normal
3,616073.977,3096613.428,2.614,0,631.5,Normal
4,616074.399,3096612.521,2.897,0,631.5,Normal
5,616074.82,3096611.614,3.179,0,631.5,Normal
6,616075.241,3096610.707,3.461,0,631.5,Normal
7,616075.663,3096609.8,3.898,0,631.5,Normal
8,616075.995,3096608.872,4.264,0,631.5,Normal
9,616076.032,3096607.872,4.606,0,631.5,Normal
10,616076.07,3096606.873,4.716,0,631.5,Normal
11,616076.108,3096605.874,4.825,0,631.5,Normal
12,616076.145,3096604.875,4.934,0,631.5,Normal
13,616076.183,3096603.875,5.043,0,631.5,Normal
14,616076.221,3096602.876,5.152,0,631.5,Normal
15,616076.258,3096601.877,5.261,0,631.5,Normal
16,616076.296,3096600.877,5.37,0,631.5,Normal
17,616076.334,3096599.878,5.48,0,631.5,Normal
18,616076.371,3096598.879,5.589,0,631.5,Normal
19,616076.409,3096597.88,5.698,0,631.5,Normal
20,616076.447,3096596.88,5.807,0,631.5,Normal
21,616076.484,3096595.881,5.916,0,631.5,Normal
22,616076.362,3096594.923,5.908,0,631.5,Normal
23,616075.84,3096594.071,5.159,0,631.12,Normal
24,616075.317,3096593.218,4.853,0,630.74,Normal
25,616074.795,3096592.365,4.613,0,630.36,Normal
26,616074.273,3096591.513,4.374,0,629.98,Normal
27,616073.75,3096590.66,4.134,0,629.6,Normal
28,616073.228,3096589.807,3.894,0,629.22,Normal
29,616072.705,3096588.955,3.714,0,628.84,Normal
30,616072.188,3096588.099,3.823,0,628.46,Normal
31,616071.764,3096587.193,3.927,0,628.08,Normal
32,616071.341,3096586.287,4.031,0,627.7,Normal
33,616070.918,3096585.381,4.135,0,627.32,Normal
34,616070.742,3096584.409,4.129,0,626.94,Normal
35,616070.654,3096583.413,3.776,0,626.56,Normal
36,616070.647,3096582.413,3.446,0,626.18,Normal
37,616070.641,3096581.413,3.2,0,625.8,Normal
38,616070.635,3096580.413,3.2,0,625.42,Normal
39,616070.629,3096579.413,3.2,0,625.04,Normal
40,616070.622,3096578.413,3.2,0,624.66,Normal
41,616070.616,3096577.413,3.2,0,624.28,Normal
42,616070.61,3096576.413,3.2,0,623.9,Normal
43,616070.604,3096575.413,3.2,0,623.52,Normal
44,616070.597,3096574.413,3.2,0,623.14,Normal
45,616070.591,3096573.413,3.2,0,622.76,Normal
46,616070.585,3096572.413,3.2,0,622.38,Normal
47,616070.582,3096571.989,3.2,0,622,Normal
