SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type,Spill left,Spillway Left Elevation,Spill to,Spill Right,Spill Right Elevation,Spill to
1,616065.73,3096621.868,10.206,0,631.875,Junction,Yes,635.5,drain,No,,
2,616065.73,3096620.868,12.126,0,631.6521538,Junction,Yes,635.5,drain,No,,
3,616065.73,3096619.868,13.644,0,631.4293077,Junction,Yes,635.5,drain,No,,
4,616065.73,3096618.868,15,0,631.2064615,Junction,Yes,635.5,drain,No,,
5,616065.73,3096617.868,17,0,630.9836154,Junction,Yes,635.5,drain,No,,
6,616065.73,3096616.868,19,0,630.7607692,Junction,Yes,635.5,drain,No,,
7,616065.73,3096615.868,11.881,0,630.5379231,Normal,Yes,635.5,drain,No,,
8,616065.73,3096614.868,12,0,630.3150769,Normal,Yes,635.5,drain,No,,
9,616065.73,3096613.868,12.197,0,630.0922308,Normal,Yes,635.5,drain,No,,
10,616065.73,3096612.868,12.81,0,629.8693846,Normal,Yes,635.5,drain,No,,
11,616065.73,3096611.868,13.422,0,629.6465385,Normal,Yes,635.5,drain,No,,
12,616065.73,3096610.868,14.035,0,629.4236923,Normal,Yes,635.5,drain,No,,
13,616065.73,3096609.868,14.647,0,629.2008462,Normal,Yes,635.5,drain,No,,
14,616065.73,3096608.868,15,0,628.978,Normal,Yes,635.5,drain,No,,
15,616065.73,3096607.868,15,0,628.978,Normal,Yes,635.5,drain,No,,
16,616065.73,3096606.868,15,0,628.978,Normal,Yes,635.5,drain,No,,
17,616065.73,3096605.868,15,0,628.978,Normal,Yes,635.5,drain,No,,
18,616065.73,3096604.868,15,0,628.978,Normal,Yes,635.5,drain,No,,
19,616065.73,3096603.868,15,0,628.978,Normal,Yes,635.5,drain,No,,
20,616065.73,3096602.868,15,0,628.978,Normal,Yes,635.5,drain,No,,
21,616065.73,3096601.868,15,0,628.978,Normal,Yes,635.5,drain,No,,
22,616065.73,3096600.868,15,0,628.978,Normal,Yes,635.5,drain,No,,
23,616065.73,3096599.868,15,0,628.978,Normal,Yes,635.5,drain,No,,
24,616065.73,3096598.868,15,0,628.978,Normal,Yes,635.5,drain,No,,
25,616065.73,3096597.868,15,0,628.978,Normal,Yes,635.5,drain,No,,
26,616065.73,3096596.868,15,0,628.978,Normal,Yes,635.5,drain,No,,
27,616065.73,3096595.868,15,0,628.978,Normal,Yes,635.5,drain,No,,
28,616065.73,3096594.868,14.576,0,628.3946667,Normal,Yes,635.5,drain,No,,
29,616065.73,3096593.868,13.576,0,627.8113333,Normal,Yes,635.5,drain,No,,
30,616065.73,3096592.868,12.576,0,627.228,Normal,Yes,635.5,drain,No,,
31,616065.73,3096591.868,11.576,0,626.6446667,Normal,Yes,635.5,drain,No,,
32,616065.73,3096590.868,10.576,0,626.0613333,Normal,Yes,635.5,drain,No,,
33,616065.73,3096589.868,10.152,0,625.478,Junction,Yes,635.5,drain,No,,
34,616065.73,3096588.868,9.092,0,624.8946667,Junction,No,,,No,,
35,616065.73,3096587.868,7.858,0,624.3113333,Junction,No,,,No,,
36,616065.73,3096586.868,6.821,0,623.728,Junction,No,,,No,,
37,616065.73,3096585.868,5.783,0,623.1446667,Junction,No,,,No,,
38,616065.73,3096584.868,5.005,0,622.5613333,Junction,No,,,No,,
39,616065.73,3096583.868,5.005,0,621.978,Junction,No,,,No,,
