SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type,Spill left,Spillway Left Elevation,Spill to,Spill Right,Spill Right Elevation,,Spill to
1,616065.73,3096621.868,10.206,0,631.5,Junction,No,,,No,,,
2,616066.682,3096621.562,12.126,0,631.5,Junction,No,,,No,,,
3,616067.635,3096621.257,13.644,0,631.5,Junction,No,,,No,,,
4,616068.587,3096620.951,15,0,631.5,Junction,No,,,No,,,
5,616069.539,3096620.646,16,0,631.5,Junction,No,,,No,,,
6,616070.491,3096620.34,17,0,631.5,Junction,No,,,No,,,
7,616071.443,3096620.035,18,0,631.5,Junction,No,,,No,,,
8,616072.396,3096619.729,19,0,631.5,Junction,No,,,No,,,
9,616073.348,3096619.424,6.724,0,631.5,Normal,No,,,No,,,
10,616074.3,3096619.118,6.032,0,631.5,Normal,No,,,Yes,635.5,,drain
11,616075.252,3096618.813,6.391,0,631.5,Normal,No,,,Yes,635.5,,drain
12,616076.07,3096618.342,,0,631.5,Normal,No,,,Yes,635.5,,drain
13,616076.561,3096617.471,5.38,0,631.5,Normal,No,,,Yes,635.5,,drain
14,616077.053,3096616.601,5.2,0,631.5,Normal,No,,,Yes,635.5,,drain
15,616077.545,3096615.73,5.125,0,631.5,Normal,No,,,Yes,635.5,,drain
16,616078.036,3096614.859,5.051,0,631.5,Normal,No,,,Yes,635.5,,drain
17,616078.528,3096613.988,4.976,0,631.5,Normal,No,,,Yes,635.5,,drain
18,616079.019,3096613.117,4.901,0,631.5,Normal,No,,,Yes,635.5,,drain
19,616079.511,3096612.246,4.826,0,631.5,Normal,No,,,Yes,635.5,,drain
20,616080.002,3096611.375,4.752,0,631.5,Normal,No,,,Yes,635.5,,drain
21,616080.494,3096610.505,4.929,0,631.5,Normal,No,,,Yes,635.5,,drain
22,616080.985,3096609.634,5.088,0,631.5,Normal,No,,,Yes,635.5,,drain
23,616081.408,3096608.742,5.36,0,631.5,Normal,No,,,Yes,635.5,,drain
24,616081.483,3096607.745,5.13,0,631.5,Normal,No,,,Yes,635.5,,drain
25,616081.557,3096606.748,5.021,0,631.5,Normal,No,,,Yes,635.5,,drain
26,616081.632,3096605.75,4.912,0,631.5,Normal,No,,,Yes,635.5,,drain
27,616081.706,3096604.753,4.802,0,631.5,Normal,No,,,Yes,635.5,,drain
28,616081.78,3096603.756,4.693,0,631.5,Normal,No,,,Yes,635.5,,drain
29,616081.855,3096602.759,4.584,0,631.5,Normal,No,,,Yes,635.5,,drain
30,616081.929,3096601.762,4.475,0,631.5,Normal,No,,,Yes,635.5,,drain
31,616082.004,3096600.764,4.366,0,631.5,Normal,No,,,Yes,635.5,,drain
32,616082.078,3096599.767,4.257,0,631.5,Normal,No,,,Yes,635.5,,drain
33,616082.153,3096598.77,4.148,0,631.5,Normal,No,,,Yes,635.5,,drain
34,616082.227,3096597.773,4.038,0,631.5,Normal,No,,,Yes,635.5,,drain
35,616082.302,3096596.775,3.929,0,631.5,Normal,No,,,Yes,636.5,,drain
36,616082.376,3096595.778,3.82,0,631.5,Normal,No,,,No,,,
