1D Steady Open Channel Network Solver																																												
																																												
Two-pass steady 1D workbook: subcritical backwater, supercritical forewater, mixed-flow specific-force selection, and spill routing to drain.																																												
	Parameter	Unit	Value				Fundamental Inputs			Boundary	Segment	End	Type	Value	Resolved Stage	Remarks																												
	Total inflow Q	m3/s	51			Acceleration g	m/s2	9.81		Inlet-UsProject	UsProject	start	Known WSE	637	637	Master inlet boundary																												
	Manning n	-	0.015			Density rho	kg/m3	998.2		Outlet-UsExit	UsExit	end	Dead End	637	636.131694	Dead End outlet; dummy reach resolves downstream stage only to maintain the solved upstream junction energy.																												
	Default bank slope	H:V	0			Allowed BC types	-	Known WSE / Known Depth / Normal Depth / Critical Depth / Dead End / Spill End / Spill Zero		Outlet-forebay	forebay	end	Spill End	635.5	634.6085762	Spill End outlet; lateral spill is capacity-limited and the downstream stage rises when spill capacity is short.																												
	Expansion coeff Ke	-	0.3							Outlet-sidechannel	sidechannel	end	Spill End	635.5	635.6	Spill End outlet; lateral spill is capacity-limited and the downstream stage rises when spill capacity is short.																												
	Contraction coeff Kc	-	0.1							Inlet-drain	drain	start	Spill Zero		631.51	Master inlet boundary																												
	Bend coeff Kb	-	0.15							Outlet-drain	drain	end	Known WSE	625	625	Master outlet boundary																												
	Junction coeff base	-	0.75			Final alpha J1	-	0.98																																				
	Spill coeff Cw	-	1.7			Final alpha J2	-	0.02																																				
	Stage relaxation	-	0.05			Final J1 WSE	m	636.0855519																																				
	Split relaxation	-	0.08			Final J2 WSE	m	635.9372853																																				
	Junction energy weight	-	0.05			Total spill to drain	m3/s	0.05																																				
	Minimum depth	m	0.01			J1 junction error	m	0																																				
	Boundary slope	-	0.001			J2 junction error	m	0																																				
	Profile relaxation	-	0.15			J1 target WSE	m	636.0855519																																				
	Profile tolerance	m	0.001			J2 target WSE	m	635.9372853																																				
	Reset (0: Hold, 1: Eval)	-	1			UsProject done	-	1																																				
	J1 initial WSE	m	637			waterway done	-	0																																				
	J2 initial WSE	m	636			UsExit done	-	1																																				
	alpha J1 initial	-	0.65			forebay done	-	0																																				
	alpha J2 initial	-	0.65			sidechannel done	-	0																																				
	Spill relaxation	-	0.1			J1 ready	-	0																																				
Junction Internal Boundary Conditions						J2 ready	-	0																																				
Junction WSE cells iterate directly from the reach passes: forward-pass junction stage from the upstream reach and backward-pass junction stages from the connected downstream reaches are compared each recalculation, the junction error is relaxed in small increments, and the updated node stage is fed back into the reach passes.																																												
																																												
																																												
Segment	From	To	Pts	Length	b_start	b_end	z_start	z_end	bed_start	bed_end	WS_start	WS_end	Q_in	Q_spill	Q_out	y_avg	Sf_avg	hf	h_junc	h_total	Profile	Start ang	End ang																					
UsProject	Inlet	Junction1	12	10.742	6.003	6.558	0	0	634.32	634.298	637	635.7964172	51	0	51	0	0	0	0	0	Mixed	-118.025	-117.982																					
waterway	Junction1	Junction2	1387	1385.515	6.558	10.206	0	0	634.298	631.875	637.0955677	635.9372853	50.95	0	50.95	0	0	0	0	0	Mixed	-161.275	-90																					
UsExit	Junction1	Outlet	19	17.255	6.558	5.994	0	0	634.298	634.262	636.1482347	636.131694	0.05	0	0	0	0	0	0	0	Mixed	-118.025	-117.874																					
forebay	Junction2	Outlet	39	38	10.206	5.005	0	0	631.875	621.978	635.9372853	634.6085762	1.019	0	0	0	0	0	0	0	Mixed	-90	-90																					
sidechannel	Junction2	Outlet	36	34.931	10.206	3.82	0	0	631.5	631.5	635.9372853	635.6	49.931	0	0	0	0	0	5.39252E-05	5.39252E-05	Mixed	-17.819	-85.755																					
drain	Inlet	Outlet	47	45.363	2.05	3.2	0	0	631.5	622	634.5	625	0.05	0	2.130087445	0	0	0	0	0	Mixed	-65.101	-90.405																					
																																												
																																												
																																												
																																												
																																												
Segment: UsProject				10.742	m length		51	m3/s		Mixed	profile																																	
SN	Dist	Easting	Northing	Bed Z	Width	Side z	Type	Def Ang	dx	Q_used	y_super	A_super	R_super	v_super	WS_super	EG_super	Sf_super	Fr_super	M_super	Err_super	Done_super	y_sub	A_sub	R_sub	v_sub	WS_sub	EG_sub	Sf_sub	Fr_sub	M_sub	Err_sub	Done_sub	y_final	WS_final	EG_final	Crest_L	Crest_R	Spill_L	Spill_R	Spill_Q	Cum_spill	Fr_final	Regime	Sf_final
-	m	m	m	m	m	-	-	deg	m	m3/s	m	m2	m	m/s	m	m	-	-	m3	m	-	m	m2	m	m/s	m	m	-	-	m3	m	-	m	m	m	m	m	m3/s	m3/s	m3/s	m3/s	-	-	-
1	0	616561.061	3097769.93	634.32	6.003	0	Normal	0	0	51	2.68	16.08804	1.415826806	3.170056763	637	637.5121947	0.00142223	0.618251442	38.03839102	0	1	1.944963935	11.6756185	1.180198487	4.368076945	636.2649639	637.2374459	0.003442096	1	34.06298535	0.001442096	1	2.68	637	637.5121947			0	0	0	0	0.618251442	Subcritical	0.00142223
2	1	616560.591	3097769.047	634.318	6.003	0	Normal	0	1	51	1.944963935	11.6756185	1.180198487	4.368076945	636.2629639	637.2354459	0.003442096	1	34.06298535	0.2282879	1	1.944963935	11.6756185	1.180198487	4.368076945	636.2629639	637.2354459	0.003442096	1	34.06298535	0.001197555	1	1.944963935	636.2629639	637.2354459			0	0	0	0	1	Supercritical	0.003442096
3	2.001	616560.121	3097768.164	634.316	6.004	0	Normal	0.027	1.001	51	1.944747966	11.67626679	1.180196249	4.367834423	636.260748	637.2331219	0.003441723	1	34.06109412	-0.001197555	1	1.944747966	11.67626679	1.180196249	4.367834423	636.260748	637.2331219	0.003441723	1	34.06109412	0.001482038	1	1.944747966	636.260748	637.2331219			0	0	0	0	1	Supercritical	0.003441723
4	3	616559.651	3097767.282	634.314	6.004	0	Normal	0.027	0.999	51	1.944747966	11.67626679	1.180196249	4.367834423	636.258748	637.2311219	0.003441723	1	34.06109412	-0.001482038	1	1.944747966	11.67626679	1.180196249	4.367834423	636.258748	637.2311219	0.003441723	1	34.06109412	0.001150059	1	1.944747966	636.258748	637.2311219			0	0	0	0	1	Supercritical	0.003441723
5	4	616559.181	3097766.399	634.312	6.005	0	Normal	0	1	51	1.944532057	11.676915	1.18019399	4.367591954	636.2565321	637.2287981	0.003441349	1	34.05920331	-0.001150059	1	1.944532057	11.676915	1.18019399	4.367591954	636.2565321	637.2287981	0.003441349	1	34.05920331	0.001444791	1	1.944532057	636.2565321	637.2287981			0	0	0	0	1	Supercritical	0.003441349
6	5.001	616558.711	3097765.516	634.31	6.005	0	Normal	0	1.001	51	1.944532057	11.676915	1.18019399	4.367591954	636.2545321	637.2267981	0.003441349	1	34.05920331	-0.001444791	1	1.944532057	11.676915	1.18019399	4.367591954	636.2545321	637.2267981	0.003441349	1	34.05920331	0.001193518	1	1.944532057	636.2545321	637.2267981			0	0	0	0	1	Supercritical	0.003441349
7	6.001	616558.241	3097764.633	634.308	6.006	0	Normal	0.027	1	51	1.944316207	11.67756314	1.180191709	4.367349539	636.2523162	637.2244743	0.003440976	1	34.05731292	-0.001193518	1	1.944316207	11.67756314	1.180191709	4.367349539	636.2523162	637.2244743	0.003440976	1	34.05731292	0.001481282	1	1.944316207	636.2523162	637.2244743			0	0	0	0	1	Supercritical	0.003440976
8	7	616557.771	3097763.751	634.306	6.006	0	Normal	0.027	0.999	51	1.944316207	11.67756314	1.180191709	4.367349539	636.2503162	637.2224743	0.003440976	1	34.05731292	-0.001481282	1	1.944316207	11.67756314	1.180191709	4.367349539	636.2503162	637.2224743	0.003440976	1	34.05731292	0.001152915	1	1.944316207	636.2503162	637.2224743			0	0	0	0	1	Supercritical	0.003440976
9	8.001	616557.301	3097762.868	634.304	6.007	0	Normal	0	1.001	51	1.944100418	11.67821121	1.180189407	4.367107178	636.2481004	637.2201506	0.003440603	1	34.05542294	-0.001152915	1	1.944100418	11.67821121	1.180189407	4.367107178	636.2481004	637.2201506	0.003440603	1	34.05542294	0.001484346	1	1.944100418	636.2481004	637.2201506			0	0	0	0	1	Supercritical	0.003440603
10	9.001	616556.831	3097761.985	634.302	6.007	0	Normal	0.027	1	51	1.944100418	11.67821121	1.180189407	4.367107178	636.2461004	637.2181506	0.003440603	1	34.05542294	-0.001484346	1	1.944100418	11.67821121	1.180189407	4.367107178	636.2461004	637.2181506	0.003440603	1	34.05542294	-0.112318056	1	1.944100418	636.2461004	637.2181506			0	0	0	0	1	Supercritical	0.003440603
11	10	616556.361	3097761.103	634.3	6.42	0	Normal	0.071	0.999	51	1.563575345	10.03815371	1.051429273	5.080615565	635.8635753	637.179205	0.005432192	1.29724625	34.26069094	0	1	1.859803652	11.93993945	1.177554425	4.271378446	636.1598037	637.0897055	0.003301242	1	33.30891449	-0.034912558	1	1.563575345	635.8635753	637.179205			0	0	0	0	1.29724625	Supercritical	0.005432192
12	10.742	616556.013	3097760.448	634.298	6.558	0	Junction	0	0.742	51	1.498417237	9.826620238	1.028444843	5.189983816	635.7964172	637.1692986	0.005838122	1.353677218	34.34375581	0	1	1.833620715	12.02488465	1.176000071	4.241204925	636.1316207	637.0484311	0.003260503	1	33.07361639	0	1	1.498417237	635.7964172	637.1692986			0	0	0	0	1.353677218	Supercritical	0.005838122
																																												
																																												
Segment: waterway				1385.515	m length		50.95	m3/s		Mixed	profile																																	
SN	Dist	Easting	Northing	Bed Z	Width	Side z	Type	Def Ang	dx	Q_used	y_super	A_super	R_super	v_super	WS_super	EG_super	Sf_super	Fr_super	M_super	Err_super	Done_super	y_sub	A_sub	R_sub	v_sub	WS_sub	EG_sub	Sf_sub	Fr_sub	M_sub	Err_sub	Done_sub	y_final	WS_final	EG_final	Crest_L	Crest_R	Spill_L	Spill_R	Spill_Q	Cum_spill	Fr_final	Regime	Sf_final
-	m	m	m	m	m	-	-	deg	m	m3/s	m	m2	m	m/s	m	m	-	-	m3	m	-	m	m2	m	m/s	m	m	-	-	m3	m	-	m	m	m	m	m	m3/s	m3/s	m3/s	m3/s	-	-	-
1	0	616556.013	3097760.448	634.298	6.558	0	Junction	0	0	50.95	1.787551858	11.72276509	1.156878032	4.34624422	636.0855519	637.0483367	0.003499672	1.037887538	33.05052658	0	1	2.797567651	18.34644865	1.509606221	2.777104221	637.0955677	637.4886516	0.001002033	0.530111684	40.08610605	-0.000906829	1	2.797567651	637.0955677	637.4886516			0	0	0	0	0.530111684	Subcritical	0.001002033
2	1	616555.066	3097760.127	634.296	7.191	0	Junction	0.054	1	50.95	1.392626662	10.01437833	1.003821575	5.087684761	635.6886267	637.00792	0.005794476	1.376475031	33.3969513	0	1	2.852843531	20.51479783	1.590702925	2.483573097	637.1488435	637.4632235	0.000747396	0.469465267	42.16163787	-0.000949076	1	2.852843531	637.1488435	637.4632235			0	0	0	0	0.469465267	Subcritical	0.000747396
3	2	616554.119	3097759.805	634.294	7.927	0	Junction	0.054	1	50.95	1.1824095	9.372960104	0.910719486	5.435849447	635.4764095	636.9824472	0.007531321	1.596059072	33.77340065	0	1	2.897751579	22.97047677	1.673927599	2.218064541	637.1917516	637.4425064	0.000556949	0.416015105	44.80128492	-0.000963645	1	2.897751579	637.1917516	637.4425064			0	0	0	0	0.416015105	Subcritical	0.000556949
4	3	616553.172	3097759.484	634.292	8.664	0	Junction	0	1	50.95	1.039936011	9.010005602	0.838618106	5.654824453	635.331936	636.9617545	0.009097774	1.770440415	34.05426285	0	1	2.930114506	25.38651208	1.747873299	2.006971255	637.2221145	637.4274118	0.000430446	0.374338376	47.61625995	-0.000926921	1	2.930114506	637.2221145	637.4274118			0	0	0	0	0.374338376	Subcritical	0.000430446
5	4	616552.225	3097759.163	634.29	9.401	0	Junction	0	1	50.95	0.932965295	8.770806737	0.778455735	5.809043744	635.2229653	636.9428934	0.010602621	1.920159913	34.26174298	0	1	2.954453054	27.77481316	1.814172665	1.834395778	637.2444531	637.4159621	0.000342187	0.340737546	50.55695529	-0.000939598	1	2.954453054	637.2444531	637.4159621			0	0	0	0	0.340737546	Subcritical	0.000342187
6	5	616551.278	3097758.842	634.288	10.138	0	Junction	0	1	50.95	0.848449696	8.601583014	0.726798153	5.92332829	635.1364497	636.9247177	0.0120808	2.053138517	34.41287643	0	1	2.973330938	30.14362905	1.874060473	1.690241076	637.2613309	637.4069433	0.000278207	0.312962659	53.59206355	-0.000986897	1	2.973330938	637.2613309	637.4069433			0	0	0	0	0.312962659	Subcritical	0.000278207
7	6	616550.331	3097758.521	634.286	10.874	0	Junction	0.054	1	50.95	0.779646156	8.4778723	0.681868655	6.009762615	635.0656462	636.9064844	0.013540338	2.173071635	34.51765368	0	1	2.988292562	32.49469331	1.928401481	1.567948326	637.2742926	637.3995964	0.000230453	0.289591417	56.6952469	-0.000912508	1	2.988292562	637.2742926	637.3995964			0	0	0	0	0.289591417	Subcritical	0.000230453
