iteration,alpha1,alpha2,j1_wse,j2_wse,q_total,q_waterway,q_usexit,q_forebay,q_sidechannel,ws_inlet,ws_usexit,ws_forebay,ws_sidechannel,j1_from_usproject,j1_from_waterway,j1_from_usexit,j2_from_waterway,j2_from_forebay,j2_from_sidechannel,momentum_j1,momentum_j2,err_j1,err_j2,alpha1_next,alpha2_next,j1_next,j2_next
0,1.0,0.8103914184393902,35479.87080799317,-15731.441593402558,51.0,51.0,0.0,41.329962340408905,9.670037659591095,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39075720671,,-50573.96154261609,1943.7765555253407,1435.8602104401446,-0.27214945998258167,0.645733973182536,34842.51994921354,34842.51994921353,1.0,0.8103914182823272,35479.87080823679,-15731.441592987567
1,1.0,0.8103914182823272,35479.87080823679,-15731.441592987567,51.0,51.0,0.0,41.329962332398686,9.670037667601314,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.3907576217,,-50573.96154237247,1943.7765550182223,1435.860211763997,-0.2721494599825818,0.6457339729097512,34842.519949384914,34842.5199493849,1.0,0.810391418133416,35479.87080846777,-15731.441592594114
2,1.0,0.810391418133416,35479.87080846777,-15731.441592594114,51.0,51.0,0.0,41.329962324804214,9.670037675195786,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39075801516,,-50573.961542141486,1943.7765545374252,1435.8602130191393,-0.2721494599825817,0.6457339726511248,34842.519949547386,34842.51994954737,1.0,0.8103914179922336,35479.87080868676,-15731.441592221081
3,1.0,0.8103914179922336,35479.87080868676,-15731.441592221081,51.0,51.0,0.0,41.329962317603915,9.670037682396085,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39075838818,,-50573.961541922494,1943.7765540815826,1435.8602142091358,-0.2721494599825818,0.6457339724059213,34842.51994970142,34842.51994970141,1.0,0.8103914178583788,35479.87080889438,-15731.44159186741
4,1.0,0.8103914178583788,35479.87080889438,-15731.44159186741,51.0,51.0,0.0,41.32996231077732,9.670037689222681,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39075874185,,-50573.961541714874,1943.7765536493982,1435.860215337371,-0.2721494599825818,0.6457339721734445,34842.51994984747,34842.51994984747,1.0,0.8103914177314713,35479.87080909123,-15731.441591532095
5,1.0,0.8103914177314713,35479.87080909123,-15731.441591532095,51.0,51.0,0.0,41.329962304305035,9.670037695694965,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39075907717,,-50573.96154151802,1943.7765532396456,1435.8602164070485,-0.2721494599825818,0.6457339719530334,34842.51994998594,34842.51994998593,1.0,0.8103914176111505,35479.87080927786,-15731.441591214183
6,1.0,0.8103914176111505,35479.87080927786,-15731.441591214183,51.0,51.0,0.0,41.329962298168674,9.670037701831326,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39075939509,,-50573.961541331395,1943.7765528511595,1435.8602174212078,-0.2721494599825817,0.6457339717440623,34842.519950117225,34842.51995011721,1.0,0.8103914174970747,35479.870809454806,-15731.441590912773
7,1.0,0.8103914174970747,35479.870809454806,-15731.441590912773,51.0,51.0,0.0,41.32996229235081,9.670037707649193,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39075969649,,-50573.96154115445,1943.7765524828362,1435.8602183827295,-0.2721494599825817,0.6457339715459371,34842.51995024168,34842.51995024168,1.0,0.8103914173889195,35479.87080962257,-15731.441590627006
8,1.0,0.8103914173889195,35479.87080962257,-15731.441590627006,51.0,51.0,0.0,41.32996228683489,9.670037713165108,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39075998226,,-50573.96154098669,1943.7765521336303,1435.8602192943474,-0.2721494599825817,0.645733971358095,34842.51995035969,34842.51995035968,1.0,0.8103914172863779,35479.87080978162,-15731.441590356071
9,1.0,0.8103914172863779,35479.87080978162,-15731.441590356071,51.0,51.0,0.0,41.32996228160527,9.670037718394731,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.3907602532,,-50573.96154082764,1943.7765518025492,1435.8602201586498,-0.2721494599825816,0.6457339711800023,34842.51995047158,34842.519950471564,1.0,0.8103914171891583,35479.87080993242,-15731.441590099197
