segment,sn,chainage,easting,northing,bed_elevation,bed_width,side_slope,section_type,deflection_angle_deg,dx,q_used,lateral_inflow,y_forward,area_forward,perimeter_forward,radius_forward,velocity_forward,ws_forward,eg_forward,sf_forward,froude_forward,specific_force_forward,error_forward,done_forward,iterations_forward,local_loss_forward,fallback_forward,y_backward,area_backward,perimeter_backward,radius_backward,velocity_backward,ws_backward,eg_backward,sf_backward,froude_backward,specific_force_backward,error_backward,done_backward,iterations_backward,local_loss_backward,fallback_backward,y_final,ws_final,eg_final,sf_final,froude_final,specific_force_final,regime,spill_crest_left,spill_crest_right,spill_left,spill_right,spill_extra,spill_total,cumulative_spill,cumulative_lateral_inflow,q_after_row
UsExit,1,0.0,616556.013,3097760.448,634.298,6.558,0.0,Junction,0.0,0.0,0.0,0.0,34845.57281262105,228517.26650516887,69697.70362524211,3.2786914721593177,0.0,35479.870812621055,35479.870812621055,0.0,0.0,3981407524.473496,0.0,True,0,0.0,False,0.05,0.3279,6.6579999999999995,0.04924902373085011,0.0,634.348,634.348,0.0,0.0,0.008197500000000002,-0.0019999999999527063,False,1,0.0,True,0.05,634.348,634.348,0.0,0.0,0.008197500000000002,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UsExit,2,1.000294456613578,616555.543,3097759.565,634.296,7.191,0.0,Junction,0.026936932381829592,1.000294456613578,0.0,0.0,34845.573925210425,250574.52209618816,69698.33885042086,3.595129040793131,0.0,35479.86992521043,35479.86992521043,0.0,0.0,4365706516.738499,0.0008874106279108673,True,6,0.0,False,0.05,0.35955000000000004,7.2909999999999995,0.04931422301467563,0.0,634.346,634.346,0.0,0.0,0.008988750000000002,-0.002000000000066393,False,1,0.0,True,0.05,634.346,634.346,0.0,0.0,0.008988750000000002,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UsExit,3,1.9997062834064434,616555.073,3097758.683,634.294,7.927,0.0,Junction,0.026936950800461545,0.9994118267928653,0.0,0.0,34845.5750377998,276220.873324639,69699.07707559959,3.9630492240956663,0.0,35479.8690377998,35479.8690377998,0.0,0.0,4812537584.22015,0.0008874106279108673,True,6,0.0,False,0.05,0.39635,8.027,0.04937710227980566,0.0,634.3439999999999,634.3439999999999,0.0,0.0,0.009908750000000001,-0.0019999999999527063,False,1,0.0,True,0.05,634.3439999999999,634.3439999999999,0.0,0.0,0.009908750000000001,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UsExit,4,3.00000074037638,616554.603,3097757.8,634.292,8.664,0.0,Junction,1.2532410664789495e-08,1.0002944569699368,0.0,0.0,34845.57615038917,301902.0717669718,69699.81630077834,4.331461512956676,0.0,35479.86815038917,35479.86815038917,0.0,0.0,5259975815.858136,0.0008874106279108673,True,6,0.0,False,0.05,0.43320000000000003,8.764,0.049429484253765414,0.0,634.342,634.342,0.0,0.0,0.010830000000000001,-0.002000000000066393,False,1,0.0,True,0.05,634.342,634.342,0.0,0.0,0.010830000000000001,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UsExit,5,4.000295196935259,616554.133,3097756.917,634.29,9.401,0.0,Junction,5.8862497098743916e-09,1.0002944565588785,0.0,0.0,34845.57726297854,327583.27184926125,69700.55552595708,4.699866010784755,0.0,35479.86726297854,35479.86726297854,0.0,0.0,5707414104.641368,0.0008874106279108673,True,6,0.0,False,0.05,0.47005,9.501,0.04947373960635723,0.0,634.3399999999999,634.3399999999999,0.0,0.0,0.011751250000000001,-0.0019999999999527063,False,1,0.0,True,0.05,634.3399999999999,634.3399999999999,0.0,0.0,0.011751250000000001,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UsExit,6,5.000589653548837,616553.663,3097756.034,634.288,10.138,0.0,Junction,0.026936919827249994,1.0002944566135783,0.0,0.0,34845.578375567915,353264.4735715075,69701.29475113584,5.068262717827789,0.0,35479.866375567915,35479.866375567915,0.0,0.0,6154852450.569852,0.0008874106279108673,True,6,0.0,False,0.05,0.5069,10.238,0.04951162336393827,0.0,634.338,634.338,0.0,0.0,0.012672500000000001,-0.002000000000066393,False,1,0.0,True,0.05,634.338,634.338,0.0,0.0,0.012672500000000001,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UsExit,7,6.000001480752657,616553.193,3097755.152,634.286,10.874,0.0,Junction,0.026936925713471283,0.9994118272038204,0.0,0.0,34845.57948815729,378910.8313542224,69702.03297631457,5.436151790335584,0.0,35479.86548815729,35479.86548815729,0.0,0.0,6601683746.438658,0.0008874106279108673,True,6,0.0,False,0.05,0.5437000000000001,10.974,0.04954437761982869,0.0,634.3359999999999,634.3359999999999,0.0,0.0,0.013592500000000002,-0.0019999999999527063,False,1,0.0,True,0.05,634.3359999999999,634.3359999999999,0.0,0.0,0.013592500000000002,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UsExit,8,7.000295937311536,616552.723,3097754.269,634.284,11.611,0.0,Junction,0.0,1.000294456558879,0.0,0.0,34845.58060074666,404592.0363552695,69702.77220149332,5.804532927122251,0.0,35479.86460074666,35479.86460074666,0.0,0.0,7049122206.618883,0.0008874106279108673,True,6,0.0,False,0.05,0.58055,11.711,0.04957305097771326,0.0,634.334,634.334,0.0,0.0,0.01451375,-0.0019999999999527063,False,1,0.0,True,0.05,634.334,634.334,0.0,0.0,0.01451375,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UsExit,9,8.000590393870414,616552.253,3097753.386,634.282,12.348,0.0,Junction,0.02693693826805088,1.000294456558878,0.0,0.0,34845.58171333603,430273.24299627333,69703.51142667206,6.172906273867133,0.0,35479.86371333603,35479.86371333603,0.0,0.0,7496560723.944366,0.0008874106279108673,True,6,0.0,False,0.05,0.6174000000000001,12.448,0.04959832904884319,0.0,634.332,634.332,0.0,0.0,0.015435000000000003,-0.002000000000066393,False,1,0.0,True,0.05,634.332,634.332,0.0,0.0,0.015435000000000003,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UsExit,10,9.00000222066328,616551.783,3097752.504,634.28,6.224,0.0,Normal,0.026936944914240257,0.9994118267928656,0.0,0.0,34845.582825925405,216878.90750855973,69697.38965185081,3.1117220973683986,0.0,35479.862825925404,35479.862825925404,0.0,0.0,3778635967.3928666,0.0008874106279108673,True,6,0.0,False,0.05,0.31120000000000003,6.324,0.049209361163820374,0.0,634.3299999999999,634.3299999999999,0.0,0.0,0.007780000000000001,-0.0019999999999527063,False,1,0.0,True,0.05,634.3299999999999,634.3299999999999,0.0,0.0,0.007780000000000001,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
