segment,sn,chainage,easting,northing,bed_elevation,bed_width,side_slope,section_type,deflection_angle_deg,dx,q_used,lateral_inflow,y_forward,area_forward,perimeter_forward,radius_forward,velocity_forward,ws_forward,eg_forward,sf_forward,froude_forward,specific_force_forward,error_forward,done_forward,valid_forward,critical_default_forward,iterations_forward,local_loss_forward,fallback_forward,y_backward,area_backward,perimeter_backward,radius_backward,velocity_backward,ws_backward,eg_backward,sf_backward,froude_backward,specific_force_backward,error_backward,done_backward,valid_backward,critical_default_backward,iterations_backward,local_loss_backward,fallback_backward,y_final,ws_final,eg_final,sf_final,froude_final,specific_force_final,final_source,regime,spill_crest_left,spill_crest_right,spill_left,spill_right,spill_extra,spill_total,cumulative_spill,cumulative_lateral_inflow,q_after_row
UsProject,1,0.0,616561.061,3097769.93,634.32,6.003,0.0,Normal,0.0,0.0,51.0,0.0,1.9449639357626438,11.67561850638315,9.892927871525288,1.18019848704133,4.368076943599854,636.2649639357627,637.237445902389,0.003442096220189453,0.9999999993547491,34.06298535465164,0.0,False,False,True,0,0.0,True,5.732504733066062,34.41222591259557,17.468009466132123,1.9700141552657022,1.4820314189944037,640.0525047330661,640.1644525988605,0.00020011126805451407,0.19762901044717518,106.33887445594752,-0.0009577926713291163,True,True,False,5,1.0141705166160739e-05,False,5.732504733066062,640.0525047330661,640.1644525988605,0.00020011126805451407,0.19762901044717518,106.33887445594752,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,2,1.0002944569699368,616560.591,3097769.047,634.318,6.003,0.0,Normal,1.2532410664789495e-08,1.0002944569699368,51.0,0.0,1.9449639357626438,11.67561850638315,9.892927871525288,1.18019848704133,4.368076943599854,636.2629639357626,637.235445902389,0.003442096220189453,0.9999999993547491,34.06298535465164,0.0,False,False,True,0,0.0,True,5.733370471319475,34.417422939330805,17.46974094263895,1.9701163888084403,1.4818076324279152,640.0513704713195,640.1632845314379,0.00020003699776220492,0.1975842492017113,106.36750526953685,-0.0009690567976576858,True,True,False,5,2.646034239883319e-05,False,5.733370471319475,640.0513704713195,640.1632845314379,0.00020003699776220492,0.1975842492017113,106.36750526953685,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,3,2.0005889135288157,616560.121,3097768.164,634.316,6.004,0.0,Normal,0.026936944158023834,1.000294456558879,51.0,0.0,1.9447479657828808,11.676266786560415,9.893495931565761,1.1801962488614992,4.3678344227884445,636.2607479657829,637.2331219487032,0.003441722714980557,1.0000000000148235,34.06109412232558,0.0,False,False,True,0,0.0,True,5.734246396964639,34.428415367375685,17.472492793929277,1.9704352305892867,1.4813345155678448,640.0502463969647,640.1620890038461,0.00019986615173002014,0.19750607720234112,106.41163583775234,-0.0009553217781785861,True,True,False,5,1.5124299261923534e-05,False,5.734246396964639,640.0502463969647,640.1620890038461,0.00019986615173002014,0.19750607720234112,106.41163583775234,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,4,3.0000007403764286,616559.651,3097767.282,634.314,6.004,0.0,Normal,0.026936944158023834,0.9994118268476129,51.0,0.0,1.9447479657828808,11.676266786560415,9.893495931565761,1.1801962488614992,4.3678344227884445,636.2587479657828,637.2311219487032,0.003441722714980557,1.0000000000148235,34.06109412232558,0.0,False,False,True,0,0.0,True,5.735109916372042,34.43359993789774,17.474219832744083,1.9705371837759706,1.4811114751864565,640.049109916372,640.1609188461339,0.00019979218618627147,0.1974614719777031,106.4402081439259,-0.00097182262379647,True,True,False,5,2.144024746902417e-05,False,5.735109916372042,640.049109916372,640.1609188461339,0.00019979218618627147,0.1974614719777031,106.4402081439259,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,5,4.0002951969353076,616559.181,3097766.399,634.312,6.005,0.0,Normal,1.2532410664789495e-08,1.000294456558879,51.0,0.0,1.9445320554077625,11.676914992723614,9.894064110815524,1.1801939892383755,4.367591956589586,636.2565320554078,637.228798084932,0.0034413493985293356,1.0000000009361543,34.059203309946746,0.0,False,False,True,0,0.0,True,5.735988355400124,34.444610074177746,17.476976710800248,1.970856323959739,1.4806380414865956,640.0479883554001,640.1597258176782,0.0001996213727715243,0.1973832380129079,106.48444778358858,-0.0009580076895190359,True,True,False,5,1.0119093071099405e-05,False,5.735988355400124,640.0479883554001,640.1597258176782,0.0001996213727715243,0.1973832380129079,106.48444778358858,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,6,5.000589653905244,616558.711,3097765.516,634.31,6.005,0.0,Normal,1.2532410664789495e-08,1.0002944569699368,51.0,0.0,1.9445320554077625,11.676914992723614,9.894064110815524,1.1801939892383755,4.367591956589586,636.2545320554077,637.2267980849319,0.0034413493985293356,1.0000000009361543,34.059203309946746,0.0,False,False,True,0,0.0,True,5.736854315808281,34.449810166428726,17.478708631616563,1.9709585469096838,1.4804145437555822,640.0468543158082,640.1585580477839,0.0001995473127759487,0.19733854811590393,106.51311578891466,-0.0009692454436844855,True,True,False,5,2.640300353050578e-05,False,5.736854315808281,640.0468543158082,640.1585580477839,0.0001995473127759487,0.19733854811590393,106.51311578891466,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,7,6.000884110464123,616558.241,3097764.633,634.308,6.006,0.0,Normal,0.026936944158023834,1.000294456558879,51.0,0.0,1.944316204637289,11.677563125051558,9.894632409274578,1.1801917081938058,4.367349544922698,636.2523162046373,637.2244743110357,0.003440976270583707,1.0000000020982955,34.05731291735198,0.0,False,False,True,0,0.0,True,5.737730440081989,34.46080902313243,17.48146088016398,1.9712774155067743,1.4799420398332885,640.045730440082,640.1573628784748,0.00019937694503911868,0.19726050147256247,106.55730474141836,-0.0009555413967063942,True,True,False,5,1.5092398369161308e-05,False,5.737730440081989,640.045730440082,640.1573628784748,0.00019937694503911868,0.19726050147256247,106.55730474141836,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,8,7.000295937311736,616557.771,3097763.751,634.306,6.006,0.0,Normal,0.026936956690406078,0.9994118268476129,51.0,0.0,1.944316204637289,11.677563125051558,9.894632409274578,1.1801917081938058,4.367349544922698,636.2503162046373,637.2224743110357,0.003440976270583707,1.0000000020982955,34.05731291735198,0.0,False,False,True,0,0.0,True,5.738594185693701,34.46599667927637,17.483188371387403,1.971379358680517,1.4797192860714559,640.0445941856938,640.1561930218595,0.0001993031884934089,0.1972159670947514,106.5859143073159,-0.0009720058461653025,True,True,False,5,2.1392286573918632e-05,False,5.738594185693701,640.0445941856938,640.1561930218595,0.0001993031884934089,0.1972159670947514,106.5859143073159,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,9,8.000590394281673,616557.301,3097762.868,634.304,6.007,0.0,Normal,1.2532410664789495e-08,1.0002944569699368,51.0,0.0,1.944100420922041,11.6782112284787,9.895200841844082,1.1801894084953544,4.36710717097071,636.248100420922,637.2201506269741,0.003440603293847386,0.9999999977321959,34.055422944378215,0.0,False,False,True,0,0.0,True,5.739472818492892,34.4770132206868,17.485945636985782,1.9716985250006718,1.479246467017019,640.0434728184929,640.1550003470445,0.00019913285366934453,0.1971378588433945,106.63021227416385,-0.0009555574575870196,True,True,False,5,1.5075485101356719e-05,False,5.739472818492892,640.0434728184929,640.1550003470445,0.00019913285366934453,0.1971378588433945,106.63021227416385,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,10,9.000884850840553,616556.831,3097761.985,634.302,6.007,0.0,Normal,0.02693693826805088,1.0002944565588798,51.0,0.0,1.944100420922041,11.6782112284787,9.895200841844082,1.1801894084953544,4.36710717097071,636.2461004209221,637.2181506269742,0.003440603293847386,0.9999999977321959,34.055422944378215,0.0,False,False,True,0,0.0,True,5.740336592454526,34.48220191087434,17.487673184909053,1.97180045316896,1.4790238782261929,640.0423365924546,640.1538305594456,0.00019905920859781157,0.19709336420254242,106.65883767195412,-0.0009206390778899731,True,True,False,17,0.004288663799220354,False,5.740336592454526,640.0423365924546,640.1538305594456,0.00019905920859781157,0.19709336420254242,106.65883767195412,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
