donor_segment,recipient_segment,donor_sn,donor_chainage,recipient_sn,recipient_chainage,mapped_sequence,mapped_q
forebay,drain,8,7.0,3,1.999889997175107,1,0.0050630656473536805
forebay,drain,9,8.0,4,3.0002564297364893,2,0.005643843001459025
forebay,drain,10,9.0,5,4.000201428324043,3,0.006571588352954906
forebay,drain,11,10.0,6,5.00014642696061,4,0.007274981877988606
forebay,drain,12,11.0,7,6.000512859895083,5,0.007791046316047231
forebay,drain,13,12.0,8,6.98611318443741,6,0.008150755157817973
forebay,drain,14,13.0,9,7.986797450327919,7,0.008248920010406977
forebay,drain,15,14.0,10,8.986519911648116,8,0.008248920010406977
forebay,drain,16,15.0,11,9.986242373438063,9,0.008248920010406977
forebay,drain,17,16.0,12,10.985927323646543,10,0.008248920010406977
forebay,drain,18,17.0,13,11.986649063190363,11,0.008248920010406977
forebay,drain,19,18.0,14,12.986371524514986,12,0.008248920010406977
forebay,drain,20,19.0,15,13.986056475188807,13,0.008248920010406977
forebay,drain,21,20.0,16,14.986778214732627,14,0.008248920010406977
forebay,drain,22,21.0,17,15.98650067605725,15,0.008248920010406977
forebay,drain,23,22.0,18,16.98618562626573,16,0.008248920010406977
forebay,drain,24,23.0,19,17.985908088051254,17,0.008248920010406977
forebay,drain,25,24.0,20,18.986629827599494,18,0.008248920010406977
forebay,drain,26,25.0,21,19.986314777807973,19,0.008248920010406977
forebay,drain,27,26.0,22,20.95205180216541,20,0.008248920010406977
forebay,drain,28,27.0,23,21.951245477045767,21,0.008284700999907415
forebay,drain,29,28.0,24,22.951814315321457,22,0.007951400442221928
forebay,drain,30,29.0,25,23.951860813943412,23,0.007531163442094426
forebay,drain,31,30.0,26,24.95105448922083,24,0.0069981032196076804
forebay,drain,32,31.0,27,25.951623327160387,25,0.006344795358540302
forebay,drain,33,32.0,28,26.951669826179536,26,0.006121067011341166
sidechannel,drain,10,9.000412214027804,3,1.999889997175107,1,0.0
sidechannel,drain,11,10.000076657573118,4,3.0002564297364893,2,0.0
sidechannel,drain,12,10.94398608111968,5,4.000201428324043,3,0.0
sidechannel,drain,13,11.943847071716732,6,5.00014642696061,4,0.0
sidechannel,drain,14,12.943328937567342,7,6.000512859895083,5,0.0
sidechannel,drain,15,13.943681375337825,8,6.98611318443741,6,0.0
sidechannel,drain,16,14.94354236547206,9,7.986797450327919,7,0.0
sidechannel,drain,17,15.943894803647991,10,8.986519911648116,8,0.0
sidechannel,drain,18,16.943755793782227,11,9.986242373438063,9,0.0
sidechannel,drain,19,17.944108231958158,12,10.985927323646543,10,0.0
sidechannel,drain,20,18.943969222092395,13,11.986649063190363,11,0.0
sidechannel,drain,21,19.943451087943007,14,12.986371524514986,12,0.0
sidechannel,drain,22,20.94331207813441,15,13.986056475188807,13,0.0
sidechannel,drain,23,21.930526847090096,16,14.986778214732627,14,0.0
sidechannel,drain,24,22.930343830313035,17,15.98650067605725,15,0.0
sidechannel,drain,25,23.93008629712702,18,16.98618562626573,16,0.0
sidechannel,drain,26,24.93090046582575,19,17.985908088051254,17,0.0
sidechannel,drain,27,25.930642932639735,20,18.986629827599494,18,0.0
sidechannel,drain,28,26.93038539945372,21,19.986314777807973,19,0.0
sidechannel,drain,29,27.930202382676658,22,20.95205180216541,20,0.0
sidechannel,drain,30,28.929944849490642,23,21.951245477045767,21,0.0
sidechannel,drain,31,29.930759018189374,24,22.951814315321457,22,0.0
sidechannel,drain,32,30.930501485003358,25,23.951860813943412,23,0.0
sidechannel,drain,33,31.93031846823503,26,24.95105448922083,24,0.0
sidechannel,drain,34,32.930060935040395,27,25.951623327160387,25,0.0
sidechannel,drain,35,33.93087510374785,28,26.951669826179536,26,0.0
sidechannel,drain,36,34.930617570561836,29,27.951386285967303,27,1.0190000000000032
