outer_iteration,j1_ready,j2_ready,j1_super_stage,j1_sub_stage,j1_super_force,j1_sub_force,j1_target,j1_error,j2_super_stage,j2_sub_stage,j2_super_force,j2_sub_force,j2_sub_branch,j2_target,j2_error,usproject_done,waterway_done,usexit_done,forebay_done,sidechannel_done
0,True,True,636.1316207158864,637.0270318663686,33.073616387491015,39.20634287052453,637.0270318663686,2.727031866368634,632.6196609303095,635.5641154963131,37.64782856189683,85.06793718169276,sidechannel,635.5641154963131,3.6641154963131157,True,True,True,True,True
1,True,True,636.1316207158864,637.0270318663686,33.073616387491015,39.20634287052453,637.0270318663686,1.7725707131396575,632.6196723910483,634.7818872715254,37.647379802734456,55.93104400585999,sidechannel,634.7818872715254,1.5994468478158979,True,True,True,True,True
2,True,True,636.1316207158864,637.0270318663686,33.073616387491015,39.20634287052453,637.0270318663686,1.1521709635408115,632.6196611333936,634.4545739268073,37.64782060973762,45.62152812895927,sidechannel,634.4545739268073,0.7123271063621814,True,True,True,True,True
3,True,True,636.1316207158864,637.0270318663686,33.073616387491015,39.20634287052453,637.0270318663686,0.7489111263015502,632.6196611333936,634.3136023257925,37.64782060973762,41.52578313328059,sidechannel,634.3136023257925,0.32204101812067165,True,True,True,True,True
4,True,True,636.1316207158864,637.0270318663686,33.073616387491015,39.20634287052453,637.0270318663686,0.48679223209603606,632.6196611333936,634.2519322184221,37.64782060973762,39.79949796551084,sidechannel,634.2519322184221,0.1476565544079449,True,True,True,True,True
5,True,True,636.1316207158864,637.0270318663686,33.073616387491015,39.20634287052453,637.0270318663686,0.316414950862395,632.6196611333936,634.2236022317592,37.64782060973762,39.019842747685225,sidechannel,634.2236022317592,0.06764677370222216,True,True,True,True,True
6,True,True,636.1316207158864,637.0270318663686,33.073616387491015,39.20634287052453,637.0270318663686,0.20566971806056245,632.6196611333936,634.2105053689961,37.64782060973762,38.662245715788764,sidechannel,634.2105053689961,0.030873540143375067,True,True,True,True,True
7,True,True,636.1316207158864,637.0270318663686,33.073616387491015,39.20634287052453,637.0270318663686,0.13368531673938833,632.6196611333936,634.2046711884022,37.64782060973762,38.503518260578325,sidechannel,634.2046711884022,0.01423362049933985,True,True,True,True,True
8,True,True,636.1316207158864,637.0270318663686,33.073616387491015,39.20634287052453,637.0270318663686,0.0868954558806081,632.6196611333936,634.2020595461482,37.64782060973762,38.432573132623745,sidechannel,634.2020595461482,0.00664021107058943,True,True,True,True,True
9,True,True,636.1316207158864,637.0270318663686,33.073616387491015,39.20634287052453,637.0270318663686,0.056482046322344104,632.6196611333936,634.2009161103205,37.64782060973762,38.40152924271503,sidechannel,634.2009161103205,0.0031727013681575045,True,True,True,True,True
10,True,True,636.1316207158864,637.0270318663686,33.073616387491015,39.20634287052453,637.0270318663686,0.03671333010947819,632.6196611333936,634.2003033629958,37.64782060973762,38.38489721684258,sidechannel,634.2003033629958,0.0014495085646331063,True,True,True,True,True
11,True,True,636.1316207158864,637.0270318663686,33.073616387491015,39.20634287052453,637.0270318663686,0.02386366457119493,632.6196611333936,634.2000231477758,37.64782060973762,38.37729070746555,sidechannel,634.2000231477758,0.0006619653470352205,True,True,True,True,True
