segment,sn,chainage,easting,northing,bed_elevation,bed_width,side_slope,section_type,deflection_angle_deg,dx,q_used,lateral_inflow,y_forward,area_forward,perimeter_forward,radius_forward,velocity_forward,ws_forward,eg_forward,sf_forward,froude_forward,specific_force_forward,error_forward,done_forward,valid_forward,critical_default_forward,iterations_forward,local_loss_forward,fallback_forward,y_backward,area_backward,perimeter_backward,radius_backward,velocity_backward,ws_backward,eg_backward,sf_backward,froude_backward,specific_force_backward,error_backward,done_backward,valid_backward,critical_default_backward,iterations_backward,local_loss_backward,fallback_backward,y_final,ws_final,eg_final,sf_final,froude_final,specific_force_final,final_source,regime,spill_crest_left,spill_crest_right,spill_left,spill_right,spill_extra,spill_total,cumulative_spill,cumulative_lateral_inflow,q_after_row
UsExit,1,0.0,616556.013,3097760.448,634.298,6.558,0.0,Junction,0.0,0.0,0.05,0.0,0.05,0.3279,6.6579999999999995,0.04924902373085011,0.15248551387618176,634.348,634.3491851086617,0.0002898074367069502,0.21772539233410557,0.008974694260327126,0.0,True,True,True,0,0.0,True,2.7179735097637328,17.82447027703056,11.993947019527464,1.4861221454463958,0.002805132451225343,637.0159735097637,637.0159739108223,1.0439585488054936e-09,0.0005432456517771227,24.22323331658121,-0.0008874313123214961,True,True,False,6,2.0349891380835422e-08,False,2.7179735097637328,637.0159735097637,637.0159739108223,1.0439585488054936e-09,0.0005432456517771227,24.22323331658121,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05
UsExit,2,1.000294456613578,616555.543,3097759.565,634.296,7.191,0.0,Junction,0.026936932381829592,1.000294456613578,0.05,0.0,0.05,0.35955000000000004,7.2909999999999995,0.04931422301467563,0.13906271728549574,634.346,634.3469856493037,0.00024060668013528103,0.1985597445316457,0.009697530414299165,0.0,True,True,True,0,0.0,True,2.7190861249412883,19.552948324452803,12.629172249882576,1.5482367282332858,0.0025571591133123537,637.0150861249414,637.015086458227,8.214507566617718e-10,0.0004951214781865156,26.583088278787564,-0.0008874287437947714,True,True,False,6,1.7787105503224457e-08,False,2.7190861249412883,637.0150861249414,637.015086458227,8.214507566617718e-10,0.0004951214781865156,26.583088278787564,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05
UsExit,3,1.9997062834064434,616555.073,3097758.683,634.294,7.927,0.0,Junction,0.026936950800461545,0.9994118267928653,0.05,0.0,0.05,0.39635,8.027,0.04937710227980566,0.12615112905260503,634.3439999999999,634.3448111165831,0.00019766540607708109,0.1801240220672467,0.010551722115456703,0.0,True,True,True,0,0.0,True,2.7201987369209752,21.56301538757257,13.367397473841951,1.6131049764749084,0.0023187851560323306,637.014198736921,637.0141990109661,6.3946979132103e-10,0.0004488752815324634,29.32785542921807,-0.0008874243337686494,True,True,False,6,1.344829452888858e-08,False,2.7201987369209752,637.014198736921,637.0141990109661,6.3946979132103e-10,0.0004488752815324634,29.32785542921807,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05
UsExit,4,3.00000074037638,616554.603,3097757.8,634.292,8.664,0.0,Junction,1.2532410664789495e-08,1.0002944569699368,0.05,0.0,0.05,0.43320000000000003,8.764,0.049429484253765414,0.11542012927054478,634.342,634.3426789911438,0.0001652332805523047,0.16480183782630012,0.011418277926965061,0.0,True,True,True,0,0.0,True,2.7213113433915628,23.5774414791445,14.106622686783126,1.6713739356787958,0.0021206711527299374,637.0133113433916,637.013311572609,5.10149746620167e-10,0.000410440028494064,32.080790281394805,-0.0008874212281853033,True,True,False,6,1.0406930049868151e-08,False,2.7213113433915628,637.0133113433916,637.013311572609,5.10149746620167e-10,0.000410440028494064,32.080790281394805,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05
UsExit,5,4.000295196935259,616554.133,3097756.917,634.29,9.401,0.0,Junction,5.8862497098743916e-09,1.0002944565588785,0.05,0.0,0.05,0.47005,9.501,0.04947373960635723,0.10637166258908627,634.3399999999999,634.3405767039042,0.0001401742025810045,0.15188204690214493,0.012293409340413284,0.0,True,True,True,0,0.0,True,2.722423945983491,25.5935075161908,14.845847891966983,1.7239505417564815,0.00195362046286033,637.0124239459834,637.012424140511,4.1542870925996615e-10,0.0003780313470604213,34.838198819183994,-0.0008874189888956607,True,True,False,6,8.226233186099113e-09,False,2.722423945983491,637.0124239459834,637.012424140511,4.1542870925996615e-10,0.0003780313470604213,34.838198819183994,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05
UsExit,6,5.000589653548837,616553.663,3097756.034,634.288,10.138,0.0,Junction,0.026936919827249994,1.0002944566135783,0.05,0.0,0.05,0.5069,10.238,0.04951162336393827,0.09863878477017163,634.338,634.3384959026432,0.00012041161730808479,0.14084071048797242,0.013175246099746034,0.0,True,True,True,0,0.0,True,2.7235365457798832,27.611213501116456,15.585073091559767,1.771644787220764,0.0018108584759586267,637.0115365457799,637.0115367129159,3.4417765472340915e-10,0.0003503348995764834,37.600083751466634,-0.0008874173322510615,True,True,False,6,6.600884889779931e-09,False,2.7235365457798832,637.0115365457799,637.0115367129159,3.4417765472340915e-10,0.0003503348995764834,37.600083751466634,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05
UsExit,7,6.000001480752657,616553.193,3097755.152,634.286,10.874,0.0,Junction,0.026936925713471283,0.9994118272038204,0.05,0.0,0.05,0.5437000000000001,10.974,0.04954437761982869,0.09196247930844215,634.3359999999999,634.3364310447298,0.00010457102330289131,0.13130799364788157,0.014061218039288698,0.0,True,True,True,0,0.0,True,2.724649143508152,29.627834786507645,16.323298287016303,1.815064226944495,0.0016876022281172478,637.0106491435081,637.0106492886662,2.8942321833587943e-10,0.00032642265558465594,40.362735938968015,-0.0008874161018184168,True,True,False,6,5.384005387932686e-09,False,2.724649143508152,637.0106491435081,637.0106492886662,2.8942321833587943e-10,0.00032642265558465594,40.362735938968015,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05
UsExit,8,7.000295937311536,616552.723,3097754.269,634.284,11.611,0.0,Junction,0.0,1.000294456558879,0.05,0.0,0.05,0.58055,11.711,0.04957305097771326,0.08612522607871846,634.334,634.3343780608851,9.164646896959399e-05,0.12297331176703681,0.014952716493775324,0.0,True,True,True,0,0.0,True,2.7257617397010687,31.64881955966911,17.062523479402138,1.8548733191708444,0.0015798377536872265,637.009761739701,637.0097618669124,2.4640819936683695e-10,0.0003055160558307661,43.13357878340464,-0.0008874151437794353,True,True,False,6,4.452914403642585e-09,False,2.7257617397010687,637.009761739701,637.0097618669124,2.4640819936683695e-10,0.0003055160558307661,43.13357878340464,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05
UsExit,9,8.000590393870414,616552.253,3097753.386,634.282,12.348,0.0,Junction,0.02693693826805088,1.000294456558878,0.05,0.0,0.05,0.6174000000000001,12.448,0.04959832904884319,0.08098477486232587,634.332,634.3323342779694,8.097790729767061e-05,0.11563355384896859,0.01584776643660717,0.0,True,True,True,0,0.0,True,2.726874334698961,33.67144428486277,17.801748669397924,1.8914683557321328,0.0014849377881446517,637.008874334699,637.0088744470864,2.120965462068166e-10,0.00028710528914275527,45.90890618480941,-0.0008872494593106239,True,True,False,6,3.298060379505701e-08,False,2.726874334698961,637.008874334699,637.0088744470864,2.120965462068166e-10,0.00028710528914275527,45.90890618480941,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05
UsExit,10,9.00000222066328,616551.783,3097752.504,634.28,6.224,0.0,Normal,0.026936944914240257,0.9994118267928656,0.05,0.0,0.05,0.31120000000000003,6.324,0.049209361163820374,0.16066838046272494,634.3299999999999,634.3313157150092,0.00032209183384271264,0.22940924211553093,0.008598901021726429,0.0,True,True,True,0,0.0,True,2.727986721953603,16.978989357439225,11.679973443907206,1.4536839008222422,0.002944816028057221,637.0079867219536,637.0079871639485,1.1848741194945073e-09,0.0005692493435562174,23.159243768898875,-0.0008874102766185388,True,True,False,6,1.0809246208299999e-10,False,2.727986721953603,637.0079867219536,637.0079871639485,1.1848741194945073e-09,0.0005692493435562174,23.159243768898875,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05
