iteration,alpha1,alpha2,j1_wse,j2_wse,q_total,q_waterway,q_usexit,q_forebay,q_sidechannel,ws_inlet,ws_usexit,ws_forebay,ws_sidechannel,j1_from_usproject,j1_from_waterway,j1_from_usexit,j2_from_waterway,j2_from_forebay,j2_from_sidechannel,j1_sub_stage,j2_sub_stage,j1_super_stage,j2_super_stage,j1_super_energy_stage,j2_super_energy_stage,j1_control,j2_control,sf_j1_sub,sf_j1_super,sf_j2_sub,sf_j2_super,momentum_j1,momentum_j2,err_j1,err_j2,alpha1_next,alpha2_next,j1_next,j2_next
0,0.98,0.5642799608756646,4507.06516767586,4507.06511552839,51.0,50.95,0.05,28.750064006615112,22.19993599338489,637.0,634.3119999999999,622.0279999999999,633.0099731944501,660.1996144511724,4507.065115627618,,632.0030983447547,4507.06510737031,634.0212943320241,4507.065115627618,4507.06510737031,636.2005968670703,633.8227182081192,660.1996144511724,632.0030983447547,Subcritical,Subcritical,49179508.117895834,33.11928682272103,76632252.97992511,32.67060002665823,9.043717485435199,-2.13780211311132e-08,5.204824174143141e-05,8.158080163411796e-06,0.98,0.4955337817853332,4507.065149458976,4507.065112673063
1,0.98,0.4955337817853332,4507.065149458976,4507.065112673063,51.0,50.95,0.05,25.24744618196273,25.702553818037273,637.0,634.3119999999999,622.0279999999999,633.0099731944501,660.1996143297265,4507.065112770875,,632.0030983446973,3618.101406013656,634.3582245847226,4507.065112770875,3618.101406013656,636.2005968597836,633.8852296332866,660.1996143297265,632.0030983446973,Subcritical,Subcritical,49179508.0453414,33.11928681318679,45506248.20778984,33.51921541647298,9.043717482956545,1.1064500426982704e-08,3.668810040835524e-05,888.9637066594069,0.98,0.42956010450874504,4507.06513661814,4195.92781534227
2,0.98,0.42956010450874504,4507.06513661814,4195.92781534227,51.0,50.95,0.05,21.88608732472056,29.063912675279443,637.0,634.3119999999999,622.0279999999999,633.0099731944501,660.199614244121,4195.92781546002,,632.0030983438609,2873.433874109431,634.7248065102641,4195.92781546002,2873.433874109431,636.2005968546473,633.93044803752,660.199614244121,632.0030983438609,Subcritical,Subcritical,41594793.575395055,33.119286806466334,25640463.319228683,34.17362445845986,9.043717481209402,2.326396497664973e-08,311.13732115812036,1322.493941232839,0.98,0.367231638549722,4398.167074212798,3733.0549359107763
3,0.98,0.367231638549722,4398.167074212798,3733.0549359107763,51.0,50.95,0.05,18.71045198410834,32.239548015891664,637.0,634.3119999999999,622.0279999999999,633.0099731944501,659.4736271614187,3733.0549360651385,,632.0042203210194,2267.483330820165,635.1098921290654,3733.0549360651385,2267.483330820165,636.1570376296851,633.9613787483125,659.4736271614187,632.0042203210194,Subcritical,Subcritical,31485923.838600967,33.07991335865624,13651620.180114025,34.64036262502711,9.033712245411522,2.7899922372398578e-08,665.1121381476596,1465.5716050906112,0.98,0.30963920851053284,4165.377825861117,3220.1048741290624
4,0.98,0.30963920851053284,4165.377825861117,3220.1048741290624,51.0,50.95,0.05,15.77611767361165,35.17388232638835,637.0,634.3119999999999,622.0279999999999,633.0099731944501,657.9216988390741,3220.104874346507,,632.0067682545605,1791.8446904943928,635.4994596209116,3220.104874346507,1791.8446904943928,636.0639219303445,633.9805848620683,657.9216988390741,632.0067682545605,Subcritical,Subcritical,21924696.406293705,33.11985283159108,6866237.99401549,34.937857797705895,9.046217532420293,-4.817501064735552e-09,945.2729515146102,1428.2601836346696,0.98,0.258012179136489,3834.532292831004,2720.213809856928
5,0.98,0.258012179136489,3834.532292831004,2720.213809856928,51.0,50.95,0.05,13.145720527004116,37.80427947299589,637.0,634.3119999999999,622.0279999999999,633.0099731944501,655.7160619522067,2720.21381019987,,632.0107952586839,1434.2716590086584,635.8767072450809,2720.21381019987,1434.2716590086584,636.1075374634804,633.9905415966361,655.7160619522067,632.0107952586839,Subcritical,Subcritical,14267075.811168,33.07937250026903,3285517.585288084,35.09437552550757,9.03441366406668,2.3521138814430742e-08,1114.318482631134,1285.9421508482696,0.98,0.21347975339976835,3444.520823910107,2270.1340570600337
6,0.98,0.21347975339976835,3444.520823910107,2270.1340570600337,51.0,50.95,0.05,10.876793435718199,40.073206564281804,637.0,634.3119999999999,622.0279999999999,633.0099731944501,653.115985492734,2270.1340576123475,,632.0163083825395,1178.0849853997724,636.2239016907835,2270.1340576123475,1178.0849853997724,636.1795,633.9937769664675,653.115985492734,632.0163083825395,Subcritical,Subcritical,8774471.57732943,33.09578441190197,1522456.3590799451,35.145569899406865,9.037661190345116,-3.501746448364429e-08,1174.3867662977596,1092.0490716602612,0.98,0.17668369264528122,3033.485455705891,1887.9168819789422
7,0.98,0.17668369264528122,3033.485455705891,1887.9168819789422,51.0,50.95,0.05,9.002034140277079,41.94796585972293,637.0,634.3119999999999,622.0279999999999,633.0099731944501,650.375749704706,1887.9168829170615,,632.0233263248512,1002.9173683019151,636.526398219376,1887.9168829170615,1002.9173683019151,636.1795,633.9927561362236,650.375749704706,632.0233263248512,Subcritical,Subcritical,5153146.267775146,33.09578441190197,702542.5264781781,35.12939923907734,9.037661190345116,3.16543378175993e-08,1145.5685727888297,884.9995136770272,0.98,0.14745767808714133,2632.5364552298006,1578.1670521919827
8,0.98,0.14745767808714133,2632.5364552298006,1578.1670521919827,51.0,50.95,0.05,7.512968698539852,43.43703130146015,637.0,634.3119999999999,622.0279999999999,633.0099731944501,647.7027563681987,1578.1670538443582,,632.0318878980396,887.3301060519238,636.7769825367318,1578.1670538443582,887.3301060519238,636.1795,633.9895671321302,647.7027563681987,632.0318878980396,Subcritical,Subcritical,2921224.3878836953,33.09578441190197,333008.16059049015,35.07898839329755,9.037661190345116,-3.609697074580254e-08,1054.3694013854424,690.8369461400589,0.98,0.12486828351514825,2263.507164744896,1336.374121042962
9,0.98,0.12486828351514825,2263.507164744896,1336.374121042962,51.0,50.95,0.05,6.362039045096804,44.587960954903195,637.0,634.3119999999999,622.0279999999999,633.0099731944501,645.2425610982993,1336.3741240402583,,632.0420470105994,812.2716624888578,636.9770619143907,1336.3741240402583,812.2716624888578,636.1795,633.985653097704,645.2425610982993,632.0420470105994,Subcritical,Subcritical,1616254.8460493416,33.09578441190197,166066.84736280702,35.01733461469242,9.037661190345116,2.2448361391980143e-08,927.1330407046376,524.1024585541043,0.98,0.10760365556667573,1939.0106004982727,1152.9382605490257
10,0.98,0.10760365556667573,1939.0106004982727,1152.9382605490257,51.0,50.95,0.05,5.4824062511221285,45.467593748877874,637.0,634.3119999999999,622.0279999999999,633.0099731944501,643.0792506699885,1152.9382660500232,,632.0538671624364,763.3012592221678,637.133807943725,1152.9382660500232,763.3012592221678,636.1795,633.9818037093431,643.0792506699885,632.0538671624364,Subcritical,Subcritical,882010.8300920668,33.09578441190197,88143.6100911786,34.95693404327003,9.037661190345116,2.6269646014043246e-08,786.0723344482494,389.6370013268579,0.98,0.09438031028808812,1663.8852834413854,1016.5653100846255
11,0.98,0.09438031028808812,1663.8852834413854,1016.5653100846255,51.0,50.95,0.05,4.80867680917809,46.141323190821915,637.0,634.3119999999999,622.0279999999999,633.0099731944501,641.2450818896092,1016.5653202268979,,632.0674188198417,730.712775525771,637.2561395366848,1016.5653202268979,730.712775525771,636.1795,633.9783488465697,641.2450818896092,632.0674188198417,Subcritical,Subcritical,479154.814950771,33.09578441190197,49850.988984815864,34.90292268429235,9.037661190345116,-1.2764679979682114e-08,647.3199632144874,285.8525345588545,0.98,0.08414847757687366,1437.3232963163148,916.5169229890264
12,0.98,0.08414847757687366,1437.3232963163148,916.5169229890264,51.0,50.95,0.05,4.287364932541713,46.66263506745829,637.0,634.3119999999999,622.0279999999999,633.0099731944501,639.7346686421088,916.5169416607162,,632.0827779645771,708.424954515574,637.3521669148229,916.5169416607162,708.424954515574,636.1795,633.9753718922883,639.7346686421088,632.0827779645771,Subcritical,Subcritical,261164.39751055292,33.09578441190197,29903.38562478837,34.85653372123225,9.037661190345116,3.0534536676896096e-08,520.8063546555986,208.09196847345243,0.98,0.07612247147443746,1255.0410721868552,843.684734023318
13,0.98,0.07612247147443746,1255.0410721868552,843.684734023318,51.0,50.95,0.05,3.8784399216225887,47.071560078377416,637.0,634.3119999999999,622.0279999999999,633.0099731944501,638.519453814579,843.684768080796,,632.1000234536324,692.7299941226391,637.4283369104503,843.684768080796,692.7299941226391,636.1795,633.9728501399904,638.519453814579,632.1000234536324,Subcritical,Subcritical,143760.79543052707,33.09578441190197,18898.52062710568,34.81734758304471,9.037661190345116,3.937861947633792e-08,411.35630410605927,150.95473990067887,0.98,0.06973595347390193,1111.0663657497344,790.8505750580804
14,0.98,0.06973595347390193,1111.0663657497344,790.8505750580804,51.0,50.95,0.05,3.5530468294953037,47.3969531705047,637.0,634.3119999999999,622.0279999999999,633.0099731944501,637.5596224383315,790.8506363203604,,632.119232074671,681.3641525400977,637.4894819254197,790.8506363203604,681.3641525400977,636.1795,633.9707256821245,637.5596224383315,632.119232074671,Subcritical,Subcritical,80364.37716103994,33.09578441190197,12498.670152758448,34.78441318664895,9.037661190345116,3.6092771438234195e-08,320.21572942937394,109.48642251798265,0.98,0.06458456176054395,998.9908604494535,752.5303271767865
15,0.98,0.06458456176054395,998.9908604494535,752.5303271767865,51.0,50.95,0.05,3.290583421699714,47.65941657830029,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161766755,752.5304353414064,,632.1404710835133,672.9216174401685,637.5391488356928,752.5304353414064,672.9216174401685,636.1795,633.9689356589764,635.6455161766755,632.1404710835133,Subcritical,Subcritical,45837.18379674813,33.09578441190197,8598.292635579792,34.756718853833405,9.037661190345116,-2.212659921951854e-08,246.46042510804716,79.60870973661804,0.98,0.06037813204421858,912.729711661637,724.6672787689702
16,0.98,0.06037813204421858,912.729711661637,724.6672787689702,51.0,50.95,0.05,3.076265827652937,47.87373417234706,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161778051,724.6674655551024,,632.1637884974859,666.5080452907744,637.579935907749,724.6674655551024,666.5080452907744,636.1795,633.9674231752605,635.6455161778051,632.1637884974859,Subcritical,Subcritical,26778.860940863182,33.09578441190197,6121.530896820332,34.73335806444549,9.037661190345116,1.1842921310289967e-08,188.06224610653464,58.1592334781958,0.98,0.05690593277071634,846.9079255243498,704.3115470516017
17,0.98,0.05690593277071634,846.9079255243498,704.3115470516017,51.0,50.95,0.05,2.8993572746679974,48.050642725332004,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161795188,704.3118616551147,,632.1892015860931,661.5392667053923,637.6137606494156,704.3118616551147,661.5392667053923,636.1795,633.9661401682049,635.6455161795188,632.1892015860931,Subcritical,Subcritical,16074.04141345603,33.09578441190197,4491.354411663166,34.71357006699506,9.037661190345116,1.3468557824580785e-08,142.59606386923508,42.77228034620941,0.98,0.05401261928078479,796.9993031701175,689.3412489304284
18,0.98,0.05401261928078479,796.9993031701175,689.3412489304284,51.0,50.95,0.05,2.7519429523559853,48.19805704764402,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161845598,689.3417646782227,,632.2166841121871,657.6236000794079,637.6420549559793,689.3417646782227,657.6236000794079,636.1795,633.9650471495241,635.6455161845598,632.2166841121871,Subcritical,Subcritical,9935.501262215994,33.09578441190197,3384.246997349212,34.69673290252989,9.037661190345116,-2.1555038642873114e-08,107.6575384918948,31.7176488510205,0.98,0.051581861610772245,759.3191646979543,678.2400718325712
19,0.98,0.051581861610772245,759.3191646979543,678.2400718325712,51.0,50.95,0.05,2.628095849068846,48.321904150931154,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161790482,678.240893768492,,632.2461535974063,654.4918366136338,637.6659025147134,678.240893768492,654.4918366136338,636.1795,633.9641120244413,635.6455161790482,632.2461535974063,Subcritical,Subcritical,6332.596625585529,33.09578441190197,2611.439574602016,34.682343038816356,9.037661190345116,-2.727233550103847e-08,81.07827092946229,23.74823521893734,0.98,0.04952519007934676,730.9417698726425,669.9281895059431
20,0.98,0.04952519007934676,730.9417698726425,669.9281895059431,51.0,50.95,0.05,2.5233084345427175,48.42669156545728,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161816694,669.9294623185672,,632.2774603800157,651.9546494356746,637.6861348149293,669.9294623185672,651.9546494356746,636.1795,633.9633087717742,635.6455161816694,632.2774603800157,Subcritical,Subcritical,4164.156691134248,33.09578441190197,2058.781658512789,34.669993546379715,9.037661190345116,-1.2930456705362303e-10,61.01230755407528,17.97354007026854,0.98,0.047774330306128376,709.587462228716,663.6374504813491
21,0.98,0.047774330306128376,709.587462228716,663.6374504813491,51.0,50.95,0.05,2.434102129097241,48.51589787090276,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161796005,663.6393661735966,,632.3103806348589,649.8760622033259,637.7033983877789,663.6393661735966,649.8760622033259,636.1795,633.9626162530333,635.6455161796005,632.3103806348589,Subcritical,Subcritical,2824.320712363039,33.09578441190197,1655.0074831650222,34.65935475153773,9.037661190345116,-5.8618411458155606e-08,45.948096055119436,13.761388278023219,0.98,0.04627587058145077,693.5056286094242,658.820964584041
22,0.98,0.04627587058145077,693.5056286094242,658.820964584041,51.0,50.95,0.05,2.357755606124917,48.592244393875085,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.645516181321,658.8237692293222,,632.3446159701846,648.1565269706882,637.7182023030357,658.8237692293222,648.1565269706882,636.1795,633.9620171902329,635.645516181321,632.3446159701846,Subcritical,Subcritical,1974.0107510294158,33.09578441190197,1354.3371394106498,34.65015782357733,9.037661190345116,-4.9504322419124946e-08,34.68185938010197,10.664437613352789,0.98,0.04498749973480501,681.3669778263885,655.0884114193675
23,0.98,0.04498749973480501,681.3669778263885,655.0884114193675,51.0,50.95,0.05,2.2921131114883155,48.65788688851169,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161831103,655.0924105761694,,632.3798014712697,646.7218842249829,637.7309520865292,655.0924105761694,646.7218842249829,636.1795,633.9614974116535,635.6455161831103,632.3798014712697,Subcritical,Subcritical,1419.808484676372,33.09578441190197,1126.6004817029295,34.64218270861204,9.037661190345116,-1.7402783214492956e-08,26.274567250219093,8.366527194384616,0.98,0.04387531443750638,672.1708792888119,652.1601269013329
24,0.98,0.04387531443750638,672.1708792888119,652.1601269013329,51.0,50.95,0.05,2.23544727059095,48.71455272940905,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161777624,652.1656892909047,,632.4155227984063,645.5160052995842,637.7419742836433,652.1656892909047,645.5160052995842,636.1795,633.9610452166945,635.6455161777624,632.4155227984063,Subcritical,Subcritical,1049.097641013619,33.09578441190197,951.4517784140702,34.63524804632377,9.037661190345116,-5.977574346616166e-08,20.005189997907223,6.6441216017486795,0.98,0.04291186430432705,665.1690627895443,649.8346843407209
25,0.98,0.04291186430432705,665.1690627895443,649.8346843407209,51.0,50.95,0.05,2.1863594863054634,48.76364051369454,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161831828,649.8422435395472,,632.45134091517,644.4957909223289,637.7515344174058,649.8422435395472,644.4957909223289,636.1795,633.9606508598179,635.6455161831828,632.45134091517,Subcritical,Subcritical,794.8844202042998,33.09578441190197,814.8824701960074,34.629203020445225,9.037661190345116,1.9738436662919412e-08,15.32681924999713,5.33889341839199,0.98,0.04207471295595017,659.8046760520454,647.9660716442837
26,0.98,0.04207471295595017,659.8046760520454,647.9660716442837,51.0,50.95,0.05,2.1437066251056613,48.80629337489434,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161780523,647.9761255233079,,632.4868210050911,643.6277082304656,637.7598503387719,647.9761255233079,643.6277082304656,636.1795,633.9603062230498,635.6455161780523,632.4868210050911,Subcritical,Subcritical,616.4275638177953,33.09578441190197,707.0638506122525,34.6239221726852,9.037661190345116,3.07621661477242e-08,11.828550528737424,4.338363413818115,0.98,0.04134536487889783,655.6646833669872,646.4476444494474
27,0.98,0.04134536487889783,655.6646833669872,646.4476444494474,51.0,50.95,0.05,2.1065463405798446,48.843453659420156,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161806749,646.4607519772513,,632.5215607525557,642.8853519632071,637.7671022299677,646.4607519772513,642.8853519632071,636.1795,633.9600044686347,635.6455161806749,632.5215607525557,Subcritical,Subcritical,488.39483851682235,33.09578441190197,620.9805668559201,34.619299961592056,9.037661190345116,-1.7216109426954063e-08,9.203931389735885,3.562292486240267,0.98,0.04070845508244849,652.4433073805797,645.2008420792632
28,0.98,0.04070845508244849,652.4433073805797,645.2008420792632,51.0,50.95,0.05,2.0740957864507505,48.875904213549255,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161820799,645.2176170921176,,632.5552134358436,642.2476997590214,637.7734402238875,645.2176170921176,642.2476997590214,636.1795,633.9597398107796,635.6455161820799,632.5552134358436,Subcritical,Subcritical,394.68400306937383,33.09578441190197,551.5461787138283,34.61524718162155,9.037661190345116,-2.2066551252919453e-08,7.225690288462033,2.9531423202417955,0.98,0.04015112998351078,649.9143157796179,644.1672422671786
29,0.98,0.04015112998351078,649.9143157796179,644.1672422671786,51.0,50.95,0.05,2.045700072659874,48.904299927340126,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161820799,644.1883437982649,,632.5875023789257,641.6978456943184,637.7789902582914,644.1883437982649,641.6978456943184,636.1795,633.959507346943,635.6455161820799,632.5875023789257,Subcritical,Subcritical,324.83596425991414,33.09578441190197,495.0193115951647,34.611688318091836,9.037661190345116,-2.8880734248559747e-08,5.725971981353041,2.469396572860205,0.98,0.03966256914917769,647.9102255861444,643.3029534666775
30,0.98,0.03966256914917769,647.9102255861444,643.3029534666775,51.0,50.95,0.05,2.0208078981506037,48.9291921018494,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161820799,643.3290725169331,,632.6182259424478,641.2220684978515,637.7838585714549,643.3290725169331,641.2220684978515,636.1795,633.9593028891236,635.6455161820799,632.6182259424478,Subcritical,Subcritical,271.9128548898068,33.09578441190197,448.61120407594984,34.60855891924842,9.037661190345116,6.42643271930865e-10,4.581153069211268,2.0808849688260125,0.98,0.039233611994355974,646.3068220119204,642.5746437275884
31,0.98,0.039233611994355974,646.3068220119204,642.5746437275884,51.0,50.95,0.05,1.998952531112437,48.951047468887566,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161820799,642.6064863988609,,632.647254179284,640.8091373399049,637.7881353344172,642.6064863988609,640.8091373399049,636.1795,633.9591228546947,635.6455161820799,632.647254179284,Subcritical,Subcritical,231.21853899137943,33.09578441190197,410.2174795052028,34.60580389237949,9.037661190345116,4.4539554266975756e-08,3.700335613059565,1.7655063876835584,0.98,0.038856463563791674,645.0117045473496,641.9567164918992
32,0.98,0.038856463563791674,645.0117045473496,641.9567164918992,51.0,50.95,0.05,1.9797368185751858,48.97026318142482,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161820799,641.9949841830581,,632.6745195554346,640.449788590178,637.7918973702043,641.9949841830581,640.449788590178,636.1795,633.9589641671628,635.6455161820799,632.6745195554346,Subcritical,Subcritical,199.51231190368267,33.09578441190197,378.23198949046343,34.60337596057296,9.037661190345116,3.9920614369748364e-08,3.016720364291473,1.5069279017212693,0.98,0.03852446049128547,643.9558524198476,641.4292917262968
33,0.98,0.03852446049128547,643.9558524198476,641.4292917262968,51.0,50.95,0.05,1.9628212620309946,48.98717873796901,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161820799,641.4746592778414,,632.7000048425347,640.1363270843476,637.7952105058581,641.4746592778414,640.1363270843476,636.1795,633.9588241668492,635.6455161820799,632.7000048425347,Subcritical,Subcritical,174.51654447743408,33.09578441190197,351.41576820825844,34.60123427787062,9.037661190345116,4.142293619224802e-09,2.481193142006191,1.2929646419491974,0.98,0.03823188324116718,643.0874348201454,640.9767541016146
34,0.98,0.03823188324116718,643.0874348201454,640.9767541016146,51.0,50.95,0.05,1.9479144511374678,49.00208554886254,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161820799,641.0298472687454,,632.7237305736988,639.8623190602214,637.7981312992424,641.0298472687454,639.8623190602214,636.1795,633.9587005513459,635.6455161820799,632.7237305736988,Subcritical,Subcritical,154.60268838910392,33.09578441190197,328.8035537828034,34.59934350473337,9.037661190345116,-3.565479289591167e-08,2.0575875514000472,1.1144350413932216,0.98,0.03797380425142318,642.3672791771554,640.586701837127
35,0.98,0.03797380425142318,642.3672791771554,640.586701837127,51.0,50.95,0.05,1.934765326610011,49.01523467338999,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161820799,640.6480757722705,,632.7457437398881,639.6223536203056,637.8007085574418,640.6480757722705,639.6223536203056,636.1795,633.9585913159698,635.6455161820799,632.7457437398881,Subcritical,Subcritical,138.58743024835044,33.09578441190197,309.6363048735161,34.59767288694313,9.037661190345116,2.915285790550115e-08,1.7192034048848654,0.9643482168213495,0.98,0.03774596417640977,641.7655579854458,640.2491799612395
36,0.98,0.03774596417640977,641.7655579854458,640.2491799612395,51.0,50.95,0.05,1.9231568747880778,49.026843125211926,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161820799,640.319300383702,,632.7661087192148,639.4118554725796,637.8029844978898,640.319300383702,639.4118554725796,636.1795,633.9584947438389,635.6455161820799,632.7661087192148,Subcritical,Subcritical,125.59805275533988,33.09578441190197,293.31190389072464,34.596196095965624,9.037661190345116,-4.233196193581534e-08,1.4462576017438096,0.8373244886598741,0.98,0.03754467032038632,641.2593678248354,639.9561163902085
37,0.98,0.03754467032038632,641.2593678248354,639.9561163902085,51.0,50.95,0.05,1.9129009528236829,49.03709904717632,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161820799,640.0353448941856,,632.7849003399461,639.2269368717522,637.8049957804828,640.0353448941856,639.2269368717522,636.1795,633.9584092967063,635.6455161820799,632.7849003399461,Subcritical,Subcritical,114.98200937319206,33.09578441190197,279.3487766999191,34.59488955356352,9.037661190345116,5.3807042377229664e-08,1.2240229306497667,0.7291795184563625,0.98,0.03736671272701855,640.830959799108,639.7009035587488
38,0.98,0.03736671272701855,640.830959799108,639.7009035587488,51.0,50.95,0.05,1.9038340134415954,49.04616598655841,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161820799,639.7894881275445,,632.8021991764456,639.0642795315235,637.806774301514,639.7894881275445,639.0642795315235,636.1795,633.9583336745053,635.6455161820799,632.8021991764456,Subcritical,Subcritical,106.24521136196229,33.09578441190197,267.3587698586301,34.59373333785193,9.037661190345116,3.873337561799417e-08,1.0414716715634995,0.6366240272252526,0.98,0.03720929441774533,640.4664447140608,639.47808514922
39,0.98,0.03720929441774533,640.4664447140608,639.47808514922,51.0,50.95,0.05,1.8958135505841245,49.05418644941588,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161820799,639.5761563306004,,632.8180882940442,638.9210396700948,637.8083478784412,639.5761563306004,638.9210396700948,636.1795,633.9582667161077,635.6455161820799,632.8180882940442,Subcritical,Subcritical,99.00924987047757,33.09578441190197,257.0267361425874,34.59270966231823,9.037661190345116,-4.246149387654441e-08,0.8902883834604154,0.5570454791251223,0.98,0.0370699730653318,640.1548437798497,639.2831192315261
40,0.98,0.0370699730653318,640.1548437798497,639.2831192315261,51.0,50.95,0.05,1.8887151276786553,49.061284872321345,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161820799,639.3906919002384,,632.8326512542814,638.7947711772174,637.8097407957166,639.3906919002384,638.7947711772174,636.1795,633.9582073893994,635.6455161820799,632.8326512542814,Subcritical,Subcritical,92.98129726585259,33.09578441190197,248.09503847492692,34.591802721539814,9.037661190345116,2.6130415164971055e-08,0.7641518796112905,0.4883480543087444,0.98,0.036946611957702755,639.8873906219857,639.1121974125181
41,0.98,0.036946611957702755,639.8873906219857,639.1121974125181,51.0,50.95,0.05,1.8824298792449554,49.06757012075505,637.0,634.3119999999999,622.0279999999999,633.0099731944501,635.6455161820799,639.2291774774343,,632.8459708743841,638.6833629628867,637.8109743406922,639.2291774774343,638.6833629628867,636.1795,633.9581548210532,635.6455161820799,632.8459708743841,Subcritical,Subcritical,87.93262184436404,33.09578441190197,240.35168510544634,34.59099914425448,9.037661190345116,2.6258938135015342e-08,0.6582131445513824,0.4288344496313812,0.98,0.03683733857777346,639.6570160213927,638.9621053551471
