segment,sn,chainage,easting,northing,bed_elevation,bed_width,side_slope,section_type,deflection_angle_deg,dx,q_used,lateral_inflow,y_forward,area_forward,perimeter_forward,radius_forward,velocity_forward,ws_forward,eg_forward,sf_forward,froude_forward,specific_force_forward,error_forward,done_forward,valid_forward,critical_default_forward,iterations_forward,local_loss_forward,fallback_forward,y_backward,area_backward,perimeter_backward,radius_backward,velocity_backward,ws_backward,eg_backward,sf_backward,froude_backward,specific_force_backward,error_backward,done_backward,valid_backward,critical_default_backward,iterations_backward,local_loss_backward,fallback_backward,y_final,ws_final,eg_final,sf_final,froude_final,specific_force_final,final_source,regime,spill_crest_left,spill_crest_right,spill_left,spill_right,spill_extra,spill_total,cumulative_spill,cumulative_lateral_inflow,q_after_row
UsProject,1,0.0,616561.061,3097769.93,634.32,6.003,0.0,Normal,0.0,0.0,51.0,0.0,1.9449639357626438,11.67561850638315,9.892927871525288,1.18019848704133,4.368076943599854,636.2649639357627,637.237445902389,0.003442096220189453,0.9999999993547491,34.06298535465164,0.0,True,True,True,0,0.0,True,3.7406766187190224,22.455281742170293,13.484353237438045,1.665284300015614,2.2711805884057847,638.0606766187191,638.3235849400826,0.0005879873777792329,0.3749229982587215,53.80633454699773,-0.0009130407132715845,True,True,False,4,2.332957923200764e-05,False,3.7406766187190224,638.0606766187191,638.3235849400826,0.0005879873777792329,0.3749229982587215,53.80633454699773,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,2,1.0002944569699368,616560.591,3097769.047,634.318,6.003,0.0,Normal,1.2532410664789495e-08,1.0002944569699368,51.0,0.0,1.9449639357626438,11.67561850638315,9.892927871525288,1.18019848704133,4.368076943599854,636.2629639357626,637.235445902389,0.003442096220189453,0.9999999993547491,34.06298535465164,0.0,True,True,True,0,0.0,True,3.7412299659534836,22.458603485618763,13.485459931906966,1.6653939575676684,2.270844669066692,638.0592299659535,638.3220605220712,0.0005877618525128829,0.37483982176273345,53.817014664434815,-0.0009452383384314089,True,True,False,4,6.21968811380929e-05,False,3.7412299659534836,638.0592299659535,638.3220605220712,0.0005877618525128829,0.37483982176273345,53.817014664434815,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,3,2.0005889135288157,616560.121,3097768.164,634.316,6.004,0.0,Normal,0.026936944158023834,1.000294456558879,51.0,0.0,1.9447479657828808,11.676266786560415,9.893495931565761,1.1801962488614992,4.3678344227884445,636.2607479657829,637.2331219487032,0.003441722714980557,1.0000000000148235,34.06109412232558,0.0,True,True,True,0,0.0,True,3.741802837021971,22.465784233479912,13.487605674043941,1.6656614062134036,2.2701188380504704,638.057802837022,638.3204654027137,0.0005872604304415681,0.37469132558855756,53.83310864446432,-0.0009061620281727301,True,True,False,4,3.491852873812483e-05,False,3.741802837021971,638.057802837022,638.3204654027137,0.0005872604304415681,0.37469132558855756,53.83310864446432,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,4,3.0000007403764286,616559.651,3097767.282,634.314,6.004,0.0,Normal,0.026936944158023834,0.9994118268476129,51.0,0.0,1.9447479657828808,11.676266786560415,9.893495931565761,1.1801962488614992,4.3678344227884445,636.2587479657828,637.2311219487032,0.003441722714980557,1.0000000000148235,34.06109412232558,0.0,True,True,True,0,0.0,True,3.742352040848716,22.46908165325569,13.488704081697431,1.6657702264922218,2.2697856898219197,638.0563520408487,638.318937518816,0.0005870369412454978,0.3746088476344719,53.843715881346256,-0.0009532347698950616,True,True,False,4,5.0543423853263326e-05,False,3.742352040848716,638.0563520408487,638.318937518816,0.0005870369412454978,0.3746088476344719,53.843715881346256,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,5,4.0002951969353076,616559.181,3097766.399,634.312,6.005,0.0,Normal,1.2532410664789495e-08,1.000294456558879,51.0,0.0,1.9445320554077625,11.676914992723614,9.894064110815524,1.1801939892383755,4.367591956589586,636.2565320554078,637.228798084932,0.0034413493985293356,1.0000000009361543,34.059203309946746,0.0,True,True,True,0,0.0,True,3.7429297823265766,22.47629334287109,13.490859564653153,1.666038641582209,2.269057411825242,638.0549297823266,638.3173467822327,0.0005865342722656262,0.3744597482465079,53.859916810764915,-0.0009138650032127771,True,True,False,4,2.3295024283467818e-05,False,3.7429297823265766,638.0549297823266,638.3173467822327,0.0005865342722656262,0.3744597482465079,53.859916810764915,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,6,5.000589653905244,616558.711,3097765.516,634.31,6.005,0.0,Normal,1.2532410664789495e-08,1.0002944569699368,51.0,0.0,1.9445320554077625,11.676914992723614,9.894064110815524,1.1801939892383755,4.367591956589586,636.2545320554077,637.2267980849319,0.0034413493985293356,1.0000000009361543,34.059203309946746,0.0,True,True,True,0,0.0,True,3.74348367793723,22.479619486013064,13.49196735587446,1.6661483750348198,2.2687216761712743,638.0534836779372,638.3158230277807,0.0005863092246688502,0.3743766422590306,53.87062183744452,-0.0009459850863322572,True,True,False,4,6.207855260155956e-05,False,3.74348367793723,638.0534836779372,638.3158230277807,0.0005863092246688502,0.3743766422590306,53.87062183744452,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,7,6.000884110464123,616558.241,3097764.633,634.308,6.006,0.0,Normal,0.026936944158023834,1.000294456558879,51.0,0.0,1.944316204637289,11.677563125051558,9.894632409274578,1.1801917081938058,4.367349544922698,636.2523162046373,637.2244743110357,0.003440976270583707,1.0000000020982955,34.05731291735198,0.0,True,True,True,0,0.0,True,3.744057052090319,22.486806654854455,13.494114104180639,1.6664159263250762,2.267996553836608,638.0520570520903,638.3142287324274,0.0005858090660693957,0.3742283266499554,53.88675128978892,-0.0009069995525123886,True,True,False,4,3.4862730283423834e-05,False,3.744057052090319,638.0520570520903,638.3142287324274,0.0005858090660693957,0.3742283266499554,53.88675128978892,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,8,7.000295937311736,616557.771,3097763.751,634.306,6.006,0.0,Normal,0.026936956690406078,0.9994118268476129,51.0,0.0,1.944316204637289,11.677563125051558,9.894632409274578,1.1801917081938058,4.367349544922698,636.2503162046373,637.2224743110357,0.003440976270583707,1.0000000020982955,34.05731291735198,0.0,True,True,True,0,0.0,True,3.7446068119151916,22.490108512362642,13.495213623830384,1.6665248242272146,2.267663580723307,638.0506068119153,638.3127015170803,0.0005855860455215367,0.37414591687039955,53.89738348740914,-0.0009539653036654272,True,True,False,4,5.0446351212811625e-05,False,3.7446068119151916,638.0506068119153,638.3127015170803,0.0005855860455215367,0.37414591687039955,53.89738348740914,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,9,8.000590394281673,616557.301,3097762.868,634.304,6.007,0.0,Normal,1.2532410664789495e-08,1.0002944569699368,51.0,0.0,1.944100420922041,11.6782112284787,9.895200841844082,1.1801894084953544,4.36710717097071,636.248100420922,637.2201506269741,0.003440603293847386,0.9999999977321959,34.055422944378215,0.0,True,True,True,0,0.0,True,3.7451850470433055,22.497326577589135,13.49737009408661,1.6667933397962862,2.2669360212250282,638.0491850470432,638.3111115977225,0.000585084648209499,0.3739970006710554,53.913619848365016,-0.0009070836703131135,True,True,False,4,3.482633201475501e-05,False,3.7451850470433055,638.0491850470432,638.3111115977225,0.000585084648209499,0.3739970006710554,53.913619848365016,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
UsProject,10,9.000884850840553,616556.831,3097761.985,634.302,6.007,0.0,Normal,0.02693693826805088,1.0002944565588798,51.0,0.0,1.944100420922041,11.6782112284787,9.895200841844082,1.1801894084953544,4.36710717097071,636.2461004209221,637.2181506269742,0.003440603293847386,0.9999999977321959,34.055422944378215,0.0,True,True,True,0,0.0,True,3.7457348820504146,22.50062943647684,13.498469764100829,1.666902236305129,2.2666032585435802,638.0477348820505,638.3095845421749,0.0005848619438862325,0.37391465537561336,53.924260615203075,-0.0009751353208002911,True,True,False,23,0.010737560836083813,False,3.7457348820504146,638.0477348820505,638.3095845421749,0.0005848619438862325,0.37391465537561336,53.924260615203075,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0
