segment,sn,chainage,easting,northing,bed_elevation,bed_width,side_slope,section_type,deflection_angle_deg,dx,q_used,lateral_inflow,y_forward,area_forward,perimeter_forward,radius_forward,velocity_forward,ws_forward,eg_forward,sf_forward,froude_forward,specific_force_forward,error_forward,done_forward,valid_forward,critical_default_forward,iterations_forward,local_loss_forward,fallback_forward,y_backward,area_backward,perimeter_backward,radius_backward,velocity_backward,ws_backward,eg_backward,sf_backward,froude_backward,specific_force_backward,error_backward,done_backward,valid_backward,critical_default_backward,iterations_backward,local_loss_backward,fallback_backward,y_final,ws_final,eg_final,sf_final,froude_final,specific_force_final,final_source,regime,spill_crest_left,spill_crest_right,spill_left,spill_right,spill_extra,spill_total,cumulative_spill,cumulative_lateral_inflow,q_after_row,spill_to_drain
forebay,1,0.0,616065.73,3096621.868,631.875,10.206,0.0,Junction,0.0,0.0,1.833518410719606,0.0,0.14872939474880695,1.5179322028063236,10.503458789497614,0.14451736644352817,1.207905338150039,632.0237293947488,632.0980940892407,0.004328674544727404,0.9999999806192373,0.33864169793881566,0.0,True,True,True,0,0.0,True,0.14872939474880695,1.5179322028063236,10.503458789497614,0.14451736644352817,1.207905338150039,632.0237293947488,632.0980940892407,0.004328674544727404,0.9999999806192373,0.33864169793881566,-0.2402514235373019,True,True,False,1,0.0024219143390882616,False,0.14872939474880695,632.0237293947488,632.0980940892407,0.004328674544727404,0.9999999806192373,0.33864169793881566,forward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,1.833518410719606,0.0
forebay,2,1.0,616065.73,3096620.868,631.6521538,12.126,0.0,Junction,0.0,1.0,1.833518410719606,0.0,0.1325832944363583,1.6077050283352807,12.391166588872716,0.12974605875922948,1.140456973390291,631.7847370944363,631.8510287411312,0.004455345921483644,0.999999996053437,0.3197322420254275,0.0,True,True,True,0,0.0,False,0.1325832944363356,1.6077050283350054,12.39116658887267,0.12974605875920775,1.1404569733904861,631.7847370944363,631.8510287411312,0.004455345921486164,0.9999999960536937,0.3197322420254275,-0.37493244499273715,True,True,True,0,0.1214519691210261,True,0.1325832944363583,631.7847370944363,631.8510287411312,0.004455345921483644,0.999999996053437,0.3197322420254275,forward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,1.833518410719606,0.0
forebay,3,2.0,616065.73,3096619.868,631.4293077,13.644,0.0,Junction,0.0,1.0,1.833518410719606,0.0,0.12255735136568549,1.6721725020334128,13.889114702731371,0.12039446270139671,1.0964887943618207,631.5518650513657,631.613143730069,0.004550392892819907,1.0000000246462089,0.30740555941546166,0.2318782512576263,True,True,False,1,0.0015038903974541843,False,0.12255735136568549,1.6721725020334128,13.889114702731371,0.12039446270139671,1.0964887943618207,631.5518650513657,631.613143730069,0.004550392892819907,1.0000000246462089,0.30740555941546166,-0.22838325100258317,True,True,False,1,0.0011253207402222535,False,0.12255735136568549,631.5518650513657,631.613143730069,0.004550392892819907,1.0000000246462089,0.30740555941546166,forward,Supercritical,,,0.0,0.0,0.0,0.0,0.0,0.0,1.833518410719606,0.0
forebay,4,3.0,616065.73,3096618.868,631.2064615,15.0,0.0,Junction,0.0,1.0,1.833518410719606,0.0,0.115055226162076,1.72582839243114,15.230110452324151,0.1133168664688032,1.0623990303791244,631.3215167261621,631.3790443357315,0.004631252296693454,0.999999969478176,0.29784835189097836,-0.011365871685484308,True,True,True,0,0.024333473277672813,True,0.115055226162076,1.72582839243114,15.230110452324151,0.1133168664688032,1.0623990303791244,631.3215167261621,631.3790443357315,0.004631252296693454,0.999999969478176,0.29784835189097836,-0.30398761142055264,True,True,True,0,0.07550736375700562,True,0.115055226162076,631.3215167261621,631.3790443357315,0.004631252296693454,0.999999969478176,0.29784835189097836,forward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,1.833518410719606,0.0
forebay,5,4.0,616065.73,3096617.868,630.9836154,17.0,0.0,Junction,0.0,1.0,1.833518410719606,0.0,0.10584440641105178,1.7993549089878802,17.211688812822104,0.10454261220708476,1.0189865276500356,631.089459806411,631.1423820053678,0.0047438207689296606,0.9999999598586906,0.2856774631069943,0.2305931706470119,True,True,False,1,0.0013816231837649377,False,0.10584440641105178,1.7993549089878802,17.211688812822104,0.10454261220708476,1.0189865276500356,631.089459806411,631.1423820053678,0.0047438207689296606,0.9999999598586906,0.2856774631069943,-0.22826182370226888,True,True,False,1,0.001134673062016308,False,0.10584440641105178,631.089459806411,631.1423820053678,0.0047438207689296606,0.9999999598586906,0.2856774631069943,forward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,1.833518410719606,0.0
forebay,6,5.0,616065.73,3096616.868,630.7607692,19.0,0.0,Junction,0.0,1.0,1.833518410719606,0.0,0.09827991984784606,1.8673184771090752,19.19655983969569,0.097273599681529,0.9818991421100286,630.8590491198479,630.9081890752647,0.004849045908826484,0.9999999541393134,0.27527984855832505,2.1079813450342044e-09,True,True,True,0,0.014782693759245808,True,0.09827991984784606,1.8673184771090752,19.19655983969569,0.097273599681529,0.9818991421100286,630.8590491198479,630.9081890752647,0.004849045908826484,0.9999999541393134,0.27527984855832505,-0.1991855009146093,True,True,True,0,0.03678518681455848,True,0.09827991984784606,630.8590491198479,630.9081890752647,0.004849045908826484,0.9999999541393134,0.27527984855832505,forward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,1.833518410719606,0.0
forebay,7,6.0,616065.73,3096615.868,630.5379231,11.881,0.0,Normal,0.0,1.0,1.833518410719606,0.0,0.13439976684749128,1.5968036299150439,12.149799533694983,0.13142633551167948,1.148242887459591,630.6723228668475,630.739522751078,0.004439562566553855,1.0000000060023166,0.32191505591902925,0.16221602706764315,True,True,False,1,0.001805992881371705,False,0.13436095289551991,1.5963424813516722,12.14972190579104,0.13138921974755588,1.1485745898130266,630.6722840528955,630.7395227678987,0.004443801126921797,1.0004333546169157,0.3219150827734414,-0.2195917578001172,True,True,False,104,0.00014367612751256946,False,0.13436095289551991,630.6722840528955,630.7395227678987,0.004443801126921797,1.0004333546169157,0.3219150827734414,backward,Supercritical,,,0.0,0.0,0.0,0.0,0.0,0.0,1.833518410719606,0.0
forebay,8,7.0,616065.73,3096614.868,630.3150769,12.0,0.0,Normal,0.0,1.0,1.833518410719606,0.0,0.13350976295769215,1.602117155492306,12.267019525915384,0.1306036199019381,1.1444346653639035,630.4485866629577,630.515341540801,0.004447243485099523,0.9999999727698347,0.32084741084137364,-0.10129505860095378,True,True,True,0,0.018732089902823497,True,0.13350484649413388,1.6020581579296067,12.267009692988267,0.13059891514109845,1.1444768104355982,630.4485817464941,630.5153415410724,0.004447784670435947,1.0000552124350988,0.32084741127604444,-0.2203352739204547,True,True,False,102,0.00021956344587664573,False,0.13350484649413388,630.4485817464941,630.5153415410724,0.004447784670435947,1.0000552124350988,0.32084741127604444,backward,Supercritical,635.5,,0.0,0.0,0.0,0.0,0.0,0.0,1.833518410719606,0.0
forebay,9,8.0,616065.73,3096613.868,630.0922308,12.197,0.0,Normal,0.0,1.0,1.833518410719606,0.0,0.13206827007234098,1.6108366900723428,12.46113654014468,0.1292688419617975,1.1382397868261014,630.2242990700723,630.290333209334,0.00445989771048299,1.0000000319947975,0.31911063615353824,0.2203385392947439,True,True,False,1,0.0002162215745055221,False,0.13207449334815366,1.6109125953674301,12.461148986696307,0.12927480420042023,1.1381861536077953,630.2243052933482,630.2903332097735,0.004459203194726288,0.9999293536691327,0.31911063686144386,-0.22410334467519988,True,True,False,98,0.0006352738599041632,False,0.13207449334815366,630.2243052933482,630.2903332097735,0.004459203194726288,0.9999293536691327,0.31911063686144386,backward,Subcritical,635.5,,0.0,0.0,0.0,0.0,0.0,0.0,1.833518410719606,0.0
forebay,10,9.0,616065.73,3096612.868,629.8693846,12.81,0.0,Normal,0.0,1.0,1.833518410719606,0.0,0.12782067023217683,1.6373827856741852,13.065641340464355,0.12531974076184096,1.1197860553814623,629.9972052702321,630.0611156071244,0.00449876503327016,1.0000000138960614,0.313937053453906,-0.10404095063836394,True,True,True,0,0.018557231787713954,True,0.12782067023217683,1.6373827856741852,13.065641340464355,0.12531974076184096,1.1197860553814623,629.9972052702321,630.0611156071244,0.00449876503327016,1.0000000138960614,0.313937053453906,-0.22361440366432817,True,True,False,1,0.0005873425694425741,False,0.12782067023217683,629.9972052702321,630.0611156071244,0.00449876503327016,1.0000000138960614,0.313937053453906,forward,Supercritical,635.5,,0.0,0.0,0.0,0.0,0.0,0.0,1.833518410719606,0.0
